# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
4818750 0.168623 0.18131 0.179267 2.20611 1.4753 0.484194 0.165803 0.179076 0.179111 0.171462 0.183558 0.179425
4818750 0.164867 0.18368 0.191016 -1.02546 7.79266 1.8235 0.166266 0.179046 0.189948 0.163758 0.187354 0.191864
4818750 0.17173 0.179029 0.198724 -7.11023 -0.0885696 0.0588224 0.177756 0.179645 0.199473 0.168175 0.178666 0.198283
4818750 0.166902 0.184648 0.201815 -0.250288 -0.0514242 -0.0578043 0.170041 0.184804 0.202717 0.162038 0.184405 0.200416
4818750 0.164527 0.189072 0.18536 -7.04593 5.55121 1.17835 0.16713 0.186246 0.184916 0.161931 0.191891 0.185802
4818750 0.162836 0.189643 0.188805 -2.15217 2.91016 -4.53344 0.163758 0.187354 0.191864 0.161931 0.191891 0.185802
4818750 0.165574 0.189508 0.194605 1.37173 1.42135 2.61658 0.163758 0.187354 0.191864 0.167216 0.191454 0.197083
4818750 0.16008 0.192852 0.197633 -2.26991 -3.68284 -1.96026 0.161685 0.195756 0.199801 0.158784 0.190507 0.195883
4818750 0.164602 0.193487 0.198367 6.29797 -4.24243 -1.74132 0.161685 0.195756 0.199801 0.167216 0.191454 0.197083
4818750 0.169367 0.184859 0.182081 2.6195 -2.58883 -4.46675 0.16713 0.186246 0.184916 0.171462 0.183558 0.179425
4818750 0.170536 0.190458 0.197858 -4.67977 1.0433 -0.376264 0.174404 0.189297 0.198761 0.167216 0.191454 0.197083
4818750 0.170576 0.197389 0.195328 -1.55648 1.46467 2.37987 0.172704 0.194844 0.192503 0.168527 0.19984 0.198047
4818750 0.16769 0.194478 0.214724 -3.81677 -0.995414 0.0366596 0.170941 0.195904 0.214652 0.16324 0.192525 0.214822
4818750 0.176556 0.186082 0.1702 4.39612 5.29732 -1.78508 0.174217 0.182116 0.171585 0.178624 0.18959 0.168976
4818750 0.172519 0.186587 0.177734 1.38237 2.69907 -2.03442 0.171462 0.183558 0.179425 0.173729 0.190057 0.175798
4818750 0.182399 0.182477 0.182886 4.57257 -5.72737 1.66997 0.180069 0.186135 0.182429 0.184264 0.17955 0.183252
4818750 0.187533 0.178628 0.182452 -9.15047 3.15378 3.8714 0.191384 0.177542 0.181509 0.184264 0.17955 0.183252
4818750 0.179378 0.184623 0.20261 -2.62353 -7.46206 -6.62643 0.180642 0.188503 0.205055 0.177756 0.179645 0.199473
4818750 0.170943 0.1826 0.204957 0.170349 -0.27487 0.250224 0.170041 0.184804 0.202717 0.171776 0.180566 0.207025
4818750 0.171966 0.186787 0.200971 0.242241 0.175615 -0.166351 0.170041 0.184804 0.202717 0.174404 0.189297 0.198761
4818750 0.17236 0.182832 0.208931 -0.282494 -1.17886 -1.35719 0.17318 0.18602 0.211613 0.171776 0.180566 0.207025
4818750 0.180374 0.178917 0.229128 0.517008 2.37317 2.2909 0.179246 0.175175 0.2264 0.181197 0.181649 0.231121
4818750 0.179095 0.18299 0.23355 -3.59006 1.67096 5.03374 0.181197 0.181649 0.231121 0.17629 0.184779 0.23679
4818750 0.18187 0.184965 0.217485 -2.45213 -2.93262 -0.114825 0.1839 0.188222 0.217307 0.179047 0.180435 0.217732
4818750 0.181539 0.184107 0.22868 1.22079 3.23679 -3.59383 0.181197 0.181649 0.231121 0.181989 0.187343 0.225465
4818750 0.183595 0.17917 0.231591 4.54787 -3.42735 0.982957 0.181197 0.181649 0.231121 0.186379 0.176289 0.232137
4818750 0.1722 0.191236 0.17212 2.39435 -2.4881 4.81446 0.170638 0.192441 0.168362 0.173729 0.190057 0.175798
4818750 0.182523 0.191277 0.168779 1.45004 0.587421 -0.322521 0.178624 0.18959 0.168976 0.187466 0.193414 0.168529
4818750 0.180223 0.189994 0.180401 0.514864 4.64255 -1.64461 0.180069 0.186135 0.182429 0.180357 0.193326 0.17865
4818750 0.176797 0.188874 0.183339 0.762615 -0.745681 -0.39005 0.173435 0.191689 0.184275 0.180069 0.186135 0.182429
4818750 0.177205 0.191771 0.177293 3.24135 1.65118 2.11452 0.173729 0.190057 0.175798 0.180357 0.193326 0.17865
4818750 0.180193 0.194821 0.175194 -0.0 0.0 0.0 0.180056 0.19608 0.172287 0.180357 0.193326 0.17865
4818750 0.177897 0.191473 0.19832 2.65631 1.14185 -0.463247 0.174404 0.189297 0.198761 0.180684 0.19321 0.197968
4818750 0.183442 0.191632 0.197066 -3.3791 1.71087 0.480123 0.187204 0.189481 0.195835 0.180684 0.19321 0.197968
4818750 0.188941 0.197998 0.198023 -4.61807 1.64134 -1.54397 0.192855 0.195821 0.199497 0.184778 0.200314 0.196455
4818750 0.175605 0.189469 0.212113 1.40584 1.44723 0.194804 0.17318 0.18602 0.211613 0.178144 0.19308 0.212636
4818750 0.17414 0.19465 0.213757 -2.2364 0.476216 0.62263 0.178144 0.19308 0.212636 0.170941 0.195904 0.214652
4818750 0.175039 0.20163 0.203405 -2.82954 1.78201 -0.588017 0.178869 0.198293 0.204546 0.172724 0.203647 0.202716
4818750 0.182441 0.192474 0.211676 1.97865 -0.577062 -0.624978 0.178144 0.19308 0.212636 0.186337 0.191925 0.210805
