# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
2393750 0.182088 0.181038 0.198325 -31.6369 33.1134 2.48388 0.186006 0.177679 0.197395 0.17753 0.184946 0.199408
2393750 0.185787 0.19953 0.187828 13.0223 5.8129 5.54405 0.182434 0.198532 0.186026 0.189366 0.200595 0.189752
2393750 0.183379 0.196793 0.1971 -28.8329 16.8102 4.69598 0.187154 0.194723 0.195785 0.180611 0.19831 0.198063
2393750 0.183496 0.195651 0.208165 17.0726 14.8057 15.6183 0.180418 0.193733 0.20509 0.186102 0.197276 0.210769
2393750 0.194413 0.185578 0.181324 18.5662 12.1202 -2.21285 0.191287 0.182911 0.181346 0.196952 0.187745 0.181307
2393750 0.198114 0.190236 0.1832 -3.78863 -14.8706 -9.87029 0.199494 0.193195 0.18545 0.196952 0.187745 0.181307
2393750 0.199878 0.18713 0.182796 -1.86418 0.165791 -1.23531 0.202957 0.186484 0.184363 0.196952 0.187745 0.181307
2393750 0.200142 0.179757 0.187563 0.155658 1.93462 7.07222 0.199397 0.178904 0.182661 0.200651 0.180339 0.19091
2393750 0.189956 0.178793 0.194127 6.53079 2.3201 -7.47896 0.186006 0.177679 0.197395 0.192583 0.179535 0.191954
2393750 0.194037 0.182143 0.19015 -5.40649 -7.72082 4.13443 0.19571 0.185145 0.188074 0.192583 0.179535 0.191954
2393750 0.1858 0.182889 0.190947 1.2983 40.8056 20.6477 0.185702 0.180164 0.188971 0.185924 0.186351 0.193455
2393750 0.192948 0.187918 0.187177 -9.19283 7.18375 -1.45317 0.19571 0.185145 0.188074 0.189182 0.191699 0.185955
2393750 0.198045 0.186303 0.191128 6.67636 1.99531 6.5805 0.19571 0.185145 0.188074 0.200949 0.187742 0.194927
2393750 0.186683 0.179061 0.208607 9.37277 -10.8336 -25.9333 0.185314 0.181273 0.212113 0.187753 0.177332 0.205868
2393750 0.190157 0.179726 0.20623 -22.7088 -22.7409 -8.72176 0.193559 0.183114 0.206742 0.187753 0.177332 0.205868
2393750 0.188242 0.183744 0.214209 16.4967 15.1956 8.10523 0.185314 0.181273 0.212113 0.191812 0.186758 0.216764
