# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
2243750 0.182104 0.181101 0.19835 -43.3873 31.783 2.12614 0.186022 0.177744 0.197416 0.177545 0.185007 0.199436
2243750 0.185784 0.19959 0.187833 19.4796 4.27239 14.2611 0.182444 0.198568 0.186024 0.18935 0.200681 0.189764
2243750 0.183364 0.196886 0.197108 -34.734 19.8624 5.4559 0.187145 0.194819 0.195808 0.180592 0.198401 0.198061
2243750 0.183514 0.195721 0.208165 16.6295 10.3284 11.8212 0.180427 0.193809 0.205095 0.186128 0.19734 0.210766
2243750 0.19441 0.18564 0.181334 21.204 13.1323 -1.11894 0.19129 0.182966 0.18136 0.196944 0.187811 0.181313
2243750 0.198098 0.190314 0.183196 -5.34685 -15.5672 -14.9371 0.199468 0.193287 0.185433 0.196944 0.187811 0.181313
2243750 0.199865 0.187196 0.18281 -3.67411 0.146532 -2.11847 0.202939 0.186548 0.184386 0.196944 0.187811 0.181313
2243750 0.200139 0.179806 0.187621 1.56856 1.80115 5.88397 0.199393 0.178954 0.182719 0.200648 0.180388 0.190968
2243750 0.18998 0.17885 0.194154 3.37437 1.2298 -3.8436 0.186022 0.177744 0.197416 0.192612 0.179585 0.191984
2243750 0.194036 0.182204 0.19017 -3.17701 -3.99344 2.77003 0.195675 0.185217 0.188082 0.192612 0.179585 0.191984
2243750 0.185839 0.182967 0.191008 4.15172 52.0071 26.5297 0.185722 0.180241 0.189035 0.185988 0.186429 0.193513
2243750 0.192924 0.187999 0.187182 -12.4197 9.40566 -4.90332 0.195675 0.185217 0.188082 0.189173 0.191792 0.185954
2243750 0.198009 0.186377 0.191137 5.47371 1.4527 5.6448 0.195675 0.185217 0.188082 0.200912 0.187819 0.194935
2243750 0.186696 0.179092 0.208618 9.54876 -8.78473 -17.4921 0.185303 0.181309 0.212113 0.187785 0.17736 0.205887
2243750 0.190177 0.179768 0.206242 -20.8468 -16.2998 -5.47198 0.193563 0.183174 0.206744 0.187785 0.17736 0.205887
2243750 0.188221 0.183796 0.214206 12.7008 7.38885 8.61137 0.185303 0.181309 0.212113 0.191778 0.186828 0.216759
2243750 0.196952 0.180239 0.21673 3.24509 0.671366 4.60957 0.195496 0.179627 0.213855 0.199119 0.181149 0.221008
2243750 0.197188 0.180056 0.207429 -8.76343 8.48663 0.0615419 0.201036 0.176746 0.208157 0.193563 0.183174 0.206744
2243750 0.19767 0.19427 0.188829 -5.92838 1.6838 8.25241 0.199468 0.193287 0.185433 0.195623 0.19539 0.192695
2243750 0.192373 0.198131 0.191177 -17.3679 17.3275 -5.13169 0.195623 0.19539 0.192695 0.18935 0.200681 0.189764
2243750 0.198135 0.191794 0.193759 -34.1239 35.0724 -10.9898 0.200912 0.187819 0.194935 0.195623 0.19539 0.192695
2243750 0.202411 0.195075 0.183462 5.72717 2.7742 -4.91335 0.199468 0.193287 0.185433 0.207443 0.198132 0.180092
2243750 0.202972 0.192457 0.187096 6.40832 -1.71134 1.88129 0.199468 0.193287 0.185433 0.206664 0.191584 0.188848
2243750 0.189086 0.199888 0.20978 35.1835 21.4767 -9.87598 0.186128 0.19734 0.210766 0.192455 0.202789 0.208658
2243750 0.199646 0.192803 0.21649 -0.158224 -1.05347 2.24471 0.2007 0.194837 0.212285 0.19887 0.191306 0.219584
2243750 0.219088 0.180827 0.196313 -35.2793 -45.9489 5.75161 0.22253 0.186227 0.196528 0.215468 0.175148 0.196086
2243750 0.20464 0.188848 0.186424 4.11362 5.91671 7.07325 0.202939 0.186548 0.184386 0.206664 0.191584 0.188848
2243750 0.209322 0.180374 0.188094 -15.0472 30.6514 32.1628 0.211254 0.176858 0.185344 0.207651 0.183417 0.190473
2243750 0.200755 0.183416 0.192585 -1.2021 -7.64742 -5.42532 0.200912 0.187819 0.194935 0.200648 0.180388 0.190968
2243750 0.210187 0.186233 0.19231 6.22224 9.78482 4.96736 0.207651 0.183417 0.190473 0.21265 0.188967 0.194094
2243750 0.212957 0.186755 0.197518 -4.31079 11.5125 -24.6553 0.213253 0.184629 0.200806 0.21265 0.188967 0.194094
2243750 0.202091 0.185087 0.198945 3.16117 -3.95112 7.29454 0.200912 0.187819 0.194935 0.202998 0.182987 0.202027
2243750 0.204316 0.188862 0.198434 12.8098 6.9323 12.6163 0.200912 0.187819 0.194935 0.207093 0.189714 0.201288
2243750 0.211214 0.192791 0.193887 2.57544 -11.0352 -0.459387 0.210136 0.195664 0.193731 0.21265 0.188967 0.194094
2243750 0.214246 0.191462 0.191275 -9.88934 -11.2213 18.1132 0.216143 0.194426 0.187925 0.21265 0.188967 0.194094
2243750 0.202158 0.180315 0.204651 3.5588 6.75819 -6.06774 0.201036 0.176746 0.208157 0.202998 0.182987 0.202027
2243750 0.205885 0.182739 0.204544 -3.18214 0.948217 -2.71306 0.208961 0.182474 0.207227 0.202998 0.182987 0.202027
2243750 0.214639 0.181885 0.203248 6.24096 -20.1146 20.3667 0.213253 0.184629 0.200806 0.215895 0.179398 0.205461
2243750 0.206729 0.189475 0.205336 2.78796 0.837234 -11.0057 0.206433 0.189281 0.20862 0.207093 0.189714 0.201288
2243750 0.200898 0.181293 0.210513 -5.09328 -50.3739 -33.8727 0.200773 0.185417 0.21265 0.201036 0.176746 0.208157
2243750 0.208064 0.18772 0.211029 9.07743 -7.62095 9.326 0.206433 0.189281 0.20862 0.209549 0.1863 0.213223
2243750 0.204082 0.187676 0.210294 -9.9319 -9.58022 9.49313 0.206433 0.189281 0.20862 0.200773 0.185417 0.21265
2243750 0.209113 0.180486 0.210797 0.625916 3.11657 -7.39308 0.209362 0.177243 0.216621 0.208961 0.182474 0.207227
2243750 0.210679 0.191641 0.201393 -20.1074 -8.43169 -3.34829 0.215419 0.194188 0.201532 0.207093 0.189714 0.201288
2243750 0.207029 0.192445 0.207888 6.49043 20.2868 -7.2661 0.206433 0.189281 0.20862 0.207797 0.196522 0.206945
2243750 0.216765 0.179839 0.208885 6.10839 1.01136 14.6085 0.215895 0.179398 0.205461 0.217548 0.180236 0.211972
2243750 0.212317 0.186202 0.214396 3.39245 0.351959 1.85665 0.209549 0.1863 0.213223 0.216021 0.186071 0.215965
2243750 0.208664 0.193935 0.191661 -10.0841 -7.67801 -11.5809 0.210136 0.195664 0.193731 0.206664 0.191584 0.188848
2243750 0.212643 0.197382 0.194184 10.1834 6.81505 -0.125203 0.210136 0.195664 0.193731 0.215166 0.19911 0.194641
2243750 0.209578 0.198198 0.195377 -6.01811 14.3532 9.05846 0.210136 0.195664 0.193731 0.208718 0.202102 0.197912
2243750 0.218061 0.198044 0.194811 -32.2821 7.65685 -5.35332 0.221915 0.196624 0.195039 0.215166 0.19911 0.194641
2243750 0.204457 0.195729 0.209458 27.165 1.20992 -18.3743 0.2007 0.194837 0.212285 0.207797 0.196522 0.206945
2243750 0.211162 0.195492 0.204555 -42.4173 5.00142 26.0712 0.215419 0.194188 0.201532 0.207797 0.196522 0.206945
2243750 0.217298 0.190323 0.20477 -9.61877 34.1377 -23.349 0.218981 0.186863 0.20767 0.215419 0.194188 0.201532
2243750 0.207049 0.195508 0.218616 39.703 -28.6666 -27.7992 0.2039 0.197633 0.220048 0.21074 0.193017 0.216939
2243750 0.211421 0.181501 0.183891 0.225808 2.21342 -1.07337 0.211254 0.176858 0.185344 0.211606 0.186657 0.182278
2243750 0.206354 0.186591 0.183555 -1.57082 0.235115 0.434606 0.211606 0.186657 0.182278 0.202939 0.186548 0.184386
2243750 0.203794 0.181748 0.190746 -6.46762 -1.91441 -0.260417 0.207651 0.183417 0.190473 0.200648 0.180388 0.190968
2243750 0.194934 0.181162 0.181971 -4.72927 2.39252 0.0488244 0.199393 0.178954 0.182719 0.19129 0.182966 0.18136
2243750 0.205182 0.199522 0.216685 1.29197 1.37873 -3.83037 0.2039 0.197633 0.220048 0.206425 0.201353 0.213424
2243750 0.203773 0.186069 0.216142 5.16948 1.88033 8.30162 0.200773 0.185417 0.21265 0.206001 0.186553 0.218734
2243750 0.202431 0.19635 0.216484 4.78037 2.69522 14.2831 0.2007 0.194837 0.212285 0.2039 0.197633 0.220048
2243750 0.19453 0.194593 0.206876 11.9083 11.3936 -4.77604 0.191886 0.191846 0.208652 0.196667 0.196812 0.20544
2243750 0.188944 0.194653 0.209732 -8.03657 10.6836 3.45877 0.191886 0.191846 0.208652 0.186128 0.19734 0.210766
2243750 0.208819 0.189436 0.185983 -0.45905 0.291109 0.528925 0.211606 0.186657 0.182278 0.206664 0.191584 0.188848
2243750 0.191838 0.189632 0.212229 0.892684 -3.07906 5.60088 0.191886 0.191846 0.208652 0.191778 0.186828 0.216759
2243750 0.199202 0.183406 0.196521 -11.973 -24.6602 13.6729 0.200912 0.187819 0.194935 0.198096 0.180551 0.197548
2243750 0.195609 0.183865 0.218976 -5.34428 5.04423 -4.63412 0.199119 0.181149 0.221008 0.191778 0.186828 0.216759
2243750 0.215258 0.197314 0.197155 -2.81669 13.1568 -25.4882 0.215419 0.194188 0.201532 0.215166 0.19911 0.194641
2243750 0.207834 0.182304 0.194531 0.880918 -1.22652 10.7765 0.207651 0.183417 0.190473 0.207967 0.181495 0.197479
2243750 0.21115 0.183574 0.203952 -3.39262 -2.34095 4.22502 0.213253 0.184629 0.200806 0.208961 0.182474 0.207227
2243750 0.198661 0.195806 0.196013 1.96145 0.762528 2.37987 0.195623 0.19539 0.192695 0.201705 0.196223 0.199339
2243750 0.2191 0.195569 0.197852 -2.61836 -1.44755 3.58526 0.221915 0.196624 0.195039 0.215419 0.194188 0.201532
2243750 0.216778 0.185236 0.199181 -5.07287 -0.182206 2.98139 0.22253 0.186227 0.196528 0.213253 0.184629 0.200806
2243750 0.205166 0.195229 0.190233 3.88321 -13.5517 -6.9737 0.203768 0.198634 0.191525 0.206664 0.191584 0.188848
2243750 0.20462 0.202031 0.189802 0.000654241 0.00566192 -0.00363579 0.203768 0.198634 0.191525 0.205336 0.204887 0.188354
