# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
3037500 0.185896 0.193026 0.18792 0.827649 0.301517 0.304661 0.182607 0.191912 0.186067 0.189408 0.194215 0.189899
3037500 0.18344 0.190326 0.197101 -1.74344 1.05311 0.269166 0.187201 0.188199 0.195824 0.180683 0.191885 0.198038
3037500 0.188957 0.196728 0.198046 -2.41354 1.44677 -0.457228 0.192864 0.194534 0.199518 0.184803 0.19906 0.196482
3037500 0.194438 0.178972 0.18148 0.615244 0.765027 -0.0317567 0.19139 0.176211 0.181532 0.196914 0.181214 0.181437
3037500 0.198088 0.183721 0.183305 -1.25404 -1.72762 -1.39391 0.199484 0.186699 0.185524 0.196914 0.181214 0.181437
3037500 0.192881 0.181316 0.187269 -1.29788 1.91152 -0.451264 0.195575 0.178463 0.188127 0.189208 0.185204 0.186101
3037500 0.197901 0.179666 0.191172 2.99241 2.63372 4.69813 0.195575 0.178463 0.188127 0.200792 0.181161 0.194959
3037500 0.189227 0.202415 0.18316 -0.652835 0.742986 0.157103 0.191136 0.199373 0.182625 0.18743 0.205276 0.183664
3037500 0.1977 0.187716 0.188918 -1.93527 1.15659 2.66415 0.199484 0.186699 0.185524 0.195669 0.188874 0.192783
3037500 0.192425 0.191641 0.191289 -0.661455 0.646488 -0.180229 0.195669 0.188874 0.192783 0.189408 0.194215 0.189899
3037500 0.19661 0.191971 0.189631 -0.429501 -0.812459 0.774608 0.19762 0.195291 0.186251 0.195669 0.188874 0.192783
3037500 0.194297 0.191643 0.196078 0.287144 -1.23876 -1.3582 0.192864 0.194534 0.199518 0.195669 0.188874 0.192783
3037500 0.195053 0.192115 0.202924 0.771987 -0.826182 1.63364 0.192864 0.194534 0.199518 0.196631 0.190371 0.20538
3037500 0.192625 0.195487 0.204131 -0.26535 0.36644 1.30478 0.192864 0.194534 0.199518 0.192393 0.196415 0.20862
3037500 0.196208 0.197082 0.19738 0.251836 0.274974 -0.192343 0.192864 0.194534 0.199518 0.19998 0.199956 0.194968
3037500 0.198102 0.185211 0.193816 -1.02078 1.63207 -0.785157 0.200792 0.181161 0.194959 0.195669 0.188874 0.192783
3037500 0.202418 0.188548 0.183597 1.88636 1.61888 -1.10341 0.199484 0.186699 0.185524 0.207435 0.191712 0.180302
3037500 0.20297 0.185871 0.187229 0.392263 -0.129217 0.2732 0.199484 0.186699 0.185524 0.206642 0.185 0.189025
3037500 0.199067 0.19867 0.183095 0.347235 0.908479 -0.601623 0.19762 0.195291 0.186251 0.200494 0.202001 0.179984
