# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
2418750 0.165287 0.179424 0.189423 -4.3545 -25.3194 1.30966 0.166081 0.184287 0.189954 0.164576 0.175065 0.188946
2418750 0.168322 0.186451 0.179085 12.4388 10.1222 -1.83774 0.165455 0.184279 0.178938 0.171208 0.188637 0.179232
2418750 0.164767 0.18224 0.197819 21.0106 12.6116 7.11219 0.159956 0.179764 0.197072 0.167937 0.183872 0.198312
2418750 0.166672 0.183108 0.201596 2.5324 1.32225 -4.37373 0.165084 0.182151 0.205718 0.167937 0.183872 0.198312
2418750 0.166572 0.188263 0.187035 1.31027 10.5893 -5.43506 0.166081 0.184287 0.189954 0.166955 0.191365 0.184757
2418750 0.164651 0.188904 0.191051 -4.86847 14.6284 6.16606 0.166081 0.184287 0.189954 0.163518 0.192565 0.19192
2418750 0.171498 0.184208 0.198718 -21.258 -2.04576 0.970824 0.177534 0.184779 0.199408 0.167937 0.183872 0.198312
2418750 0.167005 0.178886 0.203252 -2.54646 3.74642 2.07285 0.168423 0.176476 0.201431 0.165084 0.182151 0.205718
2418750 0.166615 0.189794 0.20185 -18.4629 0.740806 -2.28202 0.169774 0.189965 0.202664 0.161718 0.189529 0.200588
2418750 0.164303 0.194133 0.185242 -41.1342 40.0305 -1.65643 0.166955 0.191365 0.184757 0.161658 0.196893 0.185726
2418750 0.162579 0.194749 0.188794 -7.50819 14.5721 -30.2869 0.163518 0.192565 0.19192 0.161658 0.196893 0.185726
2418750 0.165365 0.194702 0.194648 20.3073 23.8001 21.8316 0.163518 0.192565 0.19192 0.167035 0.196634 0.197113
2418750 0.169151 0.189957 0.181905 15.5257 -11.3531 -28.9364 0.166955 0.191365 0.184757 0.171208 0.188637 0.179232
2418750 0.169878 0.193886 0.184497 1.55275 1.34237 -0.471401 0.166955 0.191365 0.184757 0.173267 0.196807 0.184197
2418750 0.170349 0.195622 0.197883 -30.7218 12.1624 -12.3341 0.174209 0.194442 0.19878 0.167035 0.196634 0.197113
2418750 0.170349 0.202401 0.195253 -6.84902 7.42541 6.08902 0.172535 0.199884 0.192449 0.168245 0.204825 0.197952
2418750 0.163156 0.197257 0.206406 9.61427 1.56845 -1.99448 0.158814 0.196521 0.206671 0.168769 0.198208 0.206064
2418750 0.171254 0.197637 0.223215 -30.7787 47.1016 25.9862 0.173719 0.194252 0.220441 0.168537 0.201367 0.226272
2418750 0.17839 0.180383 0.218085 7.44791 54.3919 -11.5178 0.177913 0.175639 0.218334 0.178925 0.185688 0.217807
2418750 0.175337 0.182767 0.171805 9.62716 -62.0858 -0.837067 0.174028 0.18737 0.171389 0.176768 0.177735 0.17226
2418750 0.17648 0.191254 0.169978 18.0785 35.9812 -18.3729 0.174028 0.18737 0.171389 0.178648 0.194688 0.168729
2418750 0.172271 0.19169 0.177595 4.14857 18.2401 -6.77237 0.171208 0.188637 0.179232 0.173488 0.195188 0.175718
2418750 0.182292 0.187606 0.182851 22.667 -35.0134 -3.42797 0.179961 0.191273 0.182518 0.184157 0.184672 0.183117
2418750 0.187431 0.183788 0.182305 -38.2974 8.65785 3.21122 0.191288 0.182746 0.181349 0.184157 0.184672 0.183117
2418750 0.175727 0.180092 0.19029 9.31609 9.68681 -6.80405 0.17297 0.176757 0.191752 0.178514 0.183463 0.188812
2418750 0.175552 0.190538 0.199033 8.43039 -24.3535 -2.51451 0.174209 0.194442 0.19878 0.177534 0.184779 0.199408
2418750 0.179156 0.189717 0.202602 -8.2808 -32.4598 -28.2218 0.18042 0.193565 0.205092 0.177534 0.184779 0.199408
2418750 0.18209 0.18087 0.198323 -30.4319 32.3777 2.71725 0.186006 0.17751 0.197391 0.177534 0.184779 0.199408
2418750 0.172159 0.182886 0.206627 -2.15169 30.9692 6.7986 0.172922 0.179261 0.206128 0.171543 0.18581 0.20703
2418750 0.170694 0.187805 0.204934 6.95859 -10.127 13.9147 0.169774 0.189965 0.202664 0.171543 0.18581 0.20703
2418750 0.171732 0.191941 0.20095 13.8873 12.8852 -7.96824 0.169774 0.189965 0.202664 0.174209 0.194442 0.19878
2418750 0.172111 0.188034 0.208987 -1.40515 -21.3056 -15.8734 0.172911 0.191162 0.211739 0.171543 0.18581 0.20703
2418750 0.176218 0.183881 0.227964 -22.8423 20.0702 13.6263 0.179196 0.180478 0.226467 0.173626 0.186842 0.229268
2418750 0.180246 0.184219 0.229225 0.89712 10.1782 8.15379 0.179196 0.180478 0.226467 0.181014 0.186952 0.231239
2418750 0.178961 0.188231 0.233739 -12.5855 12.4092 20.3969 0.181014 0.186952 0.231239 0.176223 0.189938 0.237075
2418750 0.181779 0.190194 0.217536 -14.4504 -19.7344 -2.27751 0.18383 0.193433 0.217341 0.178925 0.185688 0.217807
2418750 0.181326 0.189351 0.228738 4.76969 16.9743 -14.3774 0.181014 0.186952 0.231239 0.181736 0.19251 0.225446
2418750 0.183403 0.184482 0.231779 17.7338 -13.5467 4.8796 0.181014 0.186952 0.231239 0.186179 0.181612 0.232407
2418750 0.172007 0.196384 0.172028 3.88748 -4.58326 17.2396 0.170493 0.197605 0.168256 0.173488 0.195188 0.175718
2418750 0.182555 0.196358 0.168581 13.8337 5.26192 1.76061 0.178648 0.194688 0.168729 0.187507 0.198475 0.168392
