# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
1293750 0.182307 0.197764 0.197515 5.29256 9.20701 -0.357322 0.18065 0.194978 0.198144 0.184822 0.201994 0.196561
1293750 0.185749 0.196191 0.187865 4.74164 2.40329 2.80545 0.182412 0.195196 0.18603 0.189311 0.197252 0.189824
1293750 0.183415 0.19345 0.197186 -18.0182 9.84293 2.81011 0.187186 0.191366 0.195878 0.18065 0.194978 0.198144
1293750 0.189005 0.199706 0.198111 -11.2948 4.81521 -2.32138 0.192939 0.197554 0.199568 0.184822 0.201994 0.196561
1293750 0.186513 0.200163 0.188661 -4.65816 3.54817 -2.07619 0.189311 0.197252 0.189824 0.183741 0.203047 0.187509
1293750 0.183522 0.192292 0.208192 10.5925 8.62932 8.79369 0.180415 0.19036 0.205154 0.186154 0.193928 0.210765
1293750 0.194409 0.182171 0.18141 6.84556 4.99161 -1.29964 0.191304 0.179478 0.181483 0.196931 0.184359 0.181351
1293750 0.197312 0.178957 0.185757 1.18892 -1.46193 -1.08766 0.195645 0.181756 0.188106 0.199401 0.175451 0.182813
1293750 0.198073 0.186875 0.183224 -2.91033 -11.6909 -7.42778 0.199429 0.189865 0.185449 0.196931 0.184359 0.181351
1293750 0.199849 0.183731 0.182851 -1.44022 0.292308 -1.05778 0.202919 0.183071 0.184428 0.196931 0.184359 0.181351
1293750 0.201472 0.179937 0.183764 0.306893 1.06934 0.276104 0.199401 0.175451 0.182813 0.202919 0.183071 0.184428
1293750 0.194024 0.17873 0.190187 -4.03834 -12.7813 8.24654 0.195645 0.181756 0.188106 0.192615 0.1761 0.191995
1293750 0.185873 0.179509 0.191055 1.70648 10.3894 5.88939 0.185782 0.176778 0.189082 0.185988 0.182978 0.19356
1293750 0.192913 0.184557 0.187203 -3.97414 5.47092 -1.0631 0.195645 0.181756 0.188106 0.189189 0.188376 0.185972
1293750 0.186572 0.187065 0.194689 -0.0645504 -11.0587 -2.01099 0.187186 0.191366 0.195878 0.185988 0.182978 0.19356
1293750 0.197952 0.182914 0.191181 11.3683 5.4829 10.941 0.195645 0.181756 0.188106 0.20082 0.184355 0.195005
1293750 0.196733 0.183231 0.205806 -7.82981 -12.1554 2.94607 0.199528 0.186329 0.204923 0.193567 0.179723 0.206807
1293750 0.188242 0.180295 0.214212 11.6927 14.5831 9.71424 0.185333 0.177764 0.21216 0.191789 0.18338 0.216714
1293750 0.203372 0.186293 0.203077 10.9777 -0.184148 -3.26777 0.199528 0.186329 0.204923 0.207043 0.186259 0.201314
1293750 0.200059 0.188722 0.208414 -0.293131 -3.47678 -6.88467 0.200655 0.191408 0.212333 0.199528 0.186329 0.204923
1293750 0.196012 0.186109 0.218475 1.2093 1.09987 0.644206 0.191789 0.18338 0.216714 0.198805 0.187914 0.21964
1293750 0.196585 0.18262 0.214523 -8.59532 1.15406 5.69471 0.200771 0.181957 0.212612 0.191789 0.18338 0.216714
1293750 0.189258 0.193398 0.188151 0.0296275 5.58619 1.43192 0.189189 0.188376 0.185972 0.189311 0.197252 0.189824
1293750 0.197645 0.190851 0.18885 -7.06947 2.53168 17.8376 0.199429 0.189865 0.185449 0.195613 0.191973 0.192723
1293750 0.188286 0.194412 0.192746 0.459292 3.18323 -2.79713 0.187186 0.191366 0.195878 0.189311 0.197252 0.189824
1293750 0.189997 0.194389 0.197681 4.95377 6.97252 2.75082 0.187186 0.191366 0.195878 0.192939 0.197554 0.199568
1293750 0.192349 0.194708 0.191221 -6.15745 6.18599 -4.48071 0.195613 0.191973 0.192723 0.189311 0.197252 0.189824
1293750 0.196548 0.195101 0.189604 -6.22497 -11.1956 11.8943 0.197549 0.198456 0.186259 0.195613 0.191973 0.192723
