# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
5593750 0.182179 0.179846 0.198319 -15.3068 15.5802 7.33627 0.186043 0.176427 0.197378 0.177683 0.183825 0.199415
5593750 0.183403 0.195694 0.197032 -22.4909 12.5827 12.1712 0.187179 0.193588 0.195776 0.180634 0.197238 0.197952
5593750 0.188994 0.201921 0.198034 -14.7028 10.1342 -8.9593 0.192885 0.199751 0.199573 0.184855 0.204228 0.196398
5593750 0.198243 0.189061 0.183276 -3.08512 -10.7883 -6.74276 0.199606 0.191968 0.185603 0.197095 0.186613 0.181317
5593750 0.200211 0.178631 0.187524 4.35437 0.385829 19.1908 0.199466 0.177825 0.182615 0.200719 0.179181 0.190875
5593750 0.194087 0.181028 0.190185 -1.52097 -3.91955 3.33541 0.195738 0.18401 0.188063 0.192652 0.178436 0.192029
5593750 0.185902 0.181687 0.191063 -1.43981 16.5082 14.5481 0.185702 0.178958 0.189097 0.186156 0.185153 0.19356
5593750 0.192973 0.186796 0.187215 -7.49689 7.32867 -0.576131 0.195738 0.18401 0.188063 0.189204 0.190593 0.186058
5593750 0.198081 0.185151 0.191118 5.50951 3.35687 10.348 0.195738 0.18401 0.188063 0.200994 0.186569 0.194917
5593750 0.190201 0.178569 0.206238 -12.262 -16.4966 -1.48319 0.193622 0.181935 0.206778 0.187784 0.17619 0.205856
5593750 0.188218 0.182583 0.214167 11.3994 8.85502 11.1352 0.185269 0.180136 0.21207 0.191813 0.185566 0.216724
5593750 0.197081 0.178953 0.216744 8.31472 6.46071 14.9118 0.195664 0.178266 0.213867 0.199188 0.179974 0.221025
5593750 0.197237 0.178793 0.207408 -4.48402 4.93174 -0.15821 0.201075 0.175458 0.208077 0.193622 0.181935 0.206778
5593750 0.197766 0.192988 0.188965 -6.11022 6.18576 16.353 0.199606 0.191968 0.185603 0.195671 0.194148 0.192792
5593750 0.192461 0.196924 0.19125 -14.5299 9.00751 -5.21998 0.195671 0.194148 0.192792 0.189475 0.199506 0.189815
5593750 0.194308 0.196889 0.19611 14.8467 -17.7519 -25.602 0.192885 0.199751 0.199573 0.195671 0.194148 0.192792
5593750 0.192681 0.200669 0.204193 -0.151613 6.18085 16.8824 0.192885 0.199751 0.199573 0.192483 0.201562 0.208689
5593750 0.198199 0.190549 0.193801 -23.0331 47.7514 -12.4401 0.200994 0.186569 0.194917 0.195671 0.194148 0.192792
5593750 0.202507 0.193802 0.183615 11.7099 7.61085 -5.36538 0.199606 0.191968 0.185603 0.207468 0.196939 0.180215
5593750 0.203134 0.191185 0.187239 1.87316 -0.34569 1.24959 0.199606 0.191968 0.185603 0.206851 0.190361 0.188963
5593750 0.189135 0.198647 0.209843 19.1197 21.5163 -10.7 0.186196 0.196088 0.210857 0.192483 0.201562 0.208689
5593750 0.199689 0.191545 0.216423 -3.19441 -4.14992 7.22177 0.200762 0.193548 0.212209 0.198899 0.190071 0.219524
5593750 0.20945 0.179141 0.188094 -10.2625 21.2705 22.2332 0.211415 0.175654 0.185329 0.20775 0.182159 0.190486
5593750 0.200831 0.182192 0.192522 2.31782 -16.2544 -8.59863 0.200994 0.186569 0.194917 0.200719 0.179181 0.190875
5593750 0.2103 0.184955 0.192333 9.81215 13.8757 6.08887 0.20775 0.182159 0.190486 0.212777 0.187669 0.194127
5593750 0.202175 0.183844 0.19893 6.39066 -8.0501 13.3598 0.200994 0.186569 0.194917 0.203083 0.181749 0.202014
5593750 0.20438 0.187654 0.19842 26.7964 6.5274 20.0609 0.200994 0.186569 0.194917 0.207141 0.188538 0.201277
5593750 0.211267 0.19147 0.194095 1.91994 -8.01859 -0.498125 0.210131 0.194325 0.194071 0.212777 0.187669 0.194127
5593750 0.214328 0.190231 0.191341 -5.48247 -8.61608 6.85982 0.216172 0.193275 0.188031 0.212777 0.187669 0.194127
5593750 0.202223 0.179056 0.20461 2.98873 8.33146 -5.88194 0.201075 0.175458 0.208077 0.203083 0.181749 0.202014
5593750 0.205958 0.181502 0.204542 -10.6967 3.24245 -10.5751 0.209022 0.181238 0.207237 0.203083 0.181749 0.202014
5593750 0.206781 0.188267 0.205323 0.280589 -1.2173 -16.1923 0.206488 0.188048 0.208604 0.207141 0.188538 0.201277
5593750 0.208114 0.186476 0.21101 6.46798 -9.30426 10.3302 0.206488 0.188048 0.208604 0.209595 0.185045 0.2132
5593750 0.204147 0.186417 0.210266 -18.4486 -13.1897 8.77239 0.206488 0.188048 0.208604 0.200852 0.184122 0.212605
5593750 0.209163 0.179246 0.210804 -5.23683 14.9733 -23.7817 0.209392 0.175996 0.216621 0.209022 0.181238 0.207237
5593750 0.210747 0.190426 0.201383 -25.8359 -15.5778 -5.27112 0.215513 0.192921 0.201523 0.207141 0.188538 0.201277
5593750 0.207093 0.191206 0.207858 2.19702 20.4578 -7.88385 0.206488 0.188048 0.208604 0.207872 0.195278 0.206897
5593750 0.216852 0.178587 0.208845 2.07274 3.05848 10.5335 0.216057 0.178154 0.205402 0.217568 0.178978 0.211949
5593750 0.208741 0.192645 0.191905 -5.47413 -5.12712 -5.75965 0.210131 0.194325 0.194071 0.206851 0.190361 0.188963
5593750 0.212648 0.196068 0.194346 5.04994 3.06848 -0.338652 0.210131 0.194325 0.194071 0.21518 0.197822 0.194623
5593750 0.209624 0.196936 0.19561 -3.90626 10.2682 5.63931 0.210131 0.194325 0.194071 0.208841 0.200959 0.197982
5593750 0.21809 0.196792 0.194793 -12.1507 2.39502 -1.48032 0.221964 0.19542 0.195018 0.21518 0.197822 0.194623
5593750 0.211246 0.194237 0.204524 -48.1393 10.9495 23.6708 0.215513 0.192921 0.201523 0.207872 0.195278 0.206897
5593750 0.217384 0.189074 0.204786 -18.8419 53.2981 -32.6298 0.21906 0.185629 0.207706 0.215513 0.192921 0.201523
5593750 0.207069 0.194213 0.218589 35.6366 -25.0363 -8.99366 0.203893 0.196302 0.220018 0.210791 0.191765 0.216914
5593750 0.207168 0.197744 0.210292 0.161616 -11.4158 -16.2452 0.206517 0.200028 0.213436 0.207872 0.195278 0.206897
5593750 0.205225 0.198193 0.216677 4.09178 4.96731 -6.81083 0.203893 0.196302 0.220018 0.206517 0.200028 0.213436
5593750 0.203826 0.184806 0.216112 7.19855 0.104122 9.93722 0.200852 0.184122 0.212605 0.206034 0.185314 0.218716
5593750 0.194571 0.193367 0.206849 7.77125 6.90735 -6.84689 0.191939 0.190618 0.208641 0.196698 0.195589 0.205401
5593750 0.189005 0.193412 0.209773 -6.30975 5.94836 3.9872 0.191939 0.190618 0.208641 0.186196 0.196088 0.210857
5593750 0.208929 0.188221 0.186036 -2.85826 1.95474 3.01279 0.211617 0.185452 0.182251 0.206851 0.190361 0.188963
5593750 0.191884 0.188389 0.212208 -2.36912 -9.45159 12.6601 0.191939 0.190618 0.208641 0.191813 0.185566 0.216724
5593750 0.199229 0.182196 0.196556 -3.26109 -14.3282 4.38224 0.200994 0.186569 0.194917 0.198086 0.179366 0.197618
5593750 0.195662 0.182648 0.218968 -15.7496 8.11719 -7.81594 0.199188 0.179974 0.221025 0.191813 0.185566 0.216724
5593750 0.211298 0.182479 0.204076 -14.0516 -9.85008 15.8283 0.213485 0.18367 0.20104 0.209022 0.181238 0.207237
5593750 0.181805 0.201298 0.193706 4.40536 3.01311 4.04881 0.179956 0.199522 0.192074 0.184855 0.204228 0.196398
5593750 0.219169 0.194337 0.197837 -21.0894 -8.43288 29.4101 0.221964 0.19542 0.195018 0.215513 0.192921 0.201523
5593750 0.205395 0.194037 0.190316 0.296891 -1.39718 -0.499134 0.204035 0.19747 0.19158 0.206851 0.190361 0.188963
5593750 0.215178 0.18831 0.208699 -6.49569 6.04942 2.55206 0.21906 0.185629 0.207706 0.212609 0.190084 0.209356
5593750 0.21037 0.18606 0.201156 -11.3146 7.10216 -1.31708 0.213485 0.18367 0.20104 0.207141 0.188538 0.201277
5593750 0.217333 0.18133 0.206381 -5.72746 -18.66 -2.80707 0.21906 0.185629 0.207706 0.216057 0.178154 0.205402
5593750 0.211068 0.200416 0.184793 11.0462 14.8631 13.9083 0.207468 0.196939 0.180215 0.213848 0.2031 0.188328
5593750 0.210372 0.199837 0.212638 9.245 -1.29146 -3.27517 0.206517 0.200028 0.213436 0.216722 0.199523 0.211322
5593750 0.203016 0.196352 0.195178 -0.418859 -0.654986 1.30491 0.204035 0.19747 0.19158 0.201834 0.195055 0.199353
5593750 0.204752 0.200897 0.189856 0.0413938 1.1456 -0.636752 0.204035 0.19747 0.19158 0.205355 0.203777 0.188407
5593750 0.203877 0.180519 0.1907 -9.929 -5.90925 -0.355764 0.20775 0.182159 0.190486 0.200719 0.179181 0.190875
5593750 0.21151 0.180297 0.18387 0.387765 6.75553 -1.0211 0.211415 0.175654 0.185329 0.211617 0.185452 0.182251
5593750 0.213138 0.185629 0.197653 -1.68742 3.89257 -9.69542 0.213485 0.18367 0.20104 0.212777 0.187669 0.194127
5593750 0.194476 0.203936 0.201041 12.551 33.2797 5.67063 0.192885 0.199751 0.199573 0.195507 0.206649 0.201992
5593750 0.195003 0.18005 0.181964 -21.7096 8.02076 -5.8451 0.199466 0.177825 0.182615 0.191355 0.181868 0.181432
5593750 0.196784 0.185428 0.205716 -8.81713 -13.41 2.80741 0.199576 0.188512 0.204779 0.193622 0.181935 0.206778
5593750 0.203446 0.188526 0.202988 11.9038 -1.25946 -7.50889 0.199576 0.188512 0.204779 0.207141 0.188538 0.201277
5593750 0.200135 0.190885 0.20828 -1.77537 -3.3585 -4.91271 0.200762 0.193548 0.212209 0.199576 0.188512 0.204779
5593750 0.204659 0.184177 0.192513 -14.2565 6.85719 6.59632 0.20775 0.182159 0.190486 0.200994 0.186569 0.194917
5593750 0.216972 0.184181 0.199307 -23.2416 -0.523825 15.0431 0.222662 0.185015 0.196478 0.213485 0.18367 0.20104
5593750 0.212355 0.184937 0.214389 7.80622 0.978132 2.96251 0.209595 0.185045 0.2132 0.216048 0.184793 0.215979
5593750 0.196289 0.202253 0.197476 2.75436 2.66707 -2.44172 0.192885 0.199751 0.199573 0.200128 0.205074 0.195111
5593750 0.202456 0.195037 0.216433 3.14192 3.54195 6.4262 0.200762 0.193548 0.212209 0.203893 0.196302 0.220018
5593750 0.219222 0.179611 0.196254 -8.72633 -19.969 -0.0186315 0.222662 0.185015 0.196478 0.215604 0.173929 0.196018
5593750 0.216628 0.186636 0.195043 -5.60553 2.53756 -1.4514 0.222662 0.185015 0.196478 0.212777 0.187669 0.194127
5593750 0.200958 0.180002 0.210452 0.321157 -7.4724 -2.50815 0.200852 0.184122 0.212605 0.201075 0.175458 0.208077
5593750 0.215301 0.196034 0.197141 -5.20329 19.6766 -37.6483 0.215513 0.192921 0.201523 0.21518 0.197822 0.194623
5593750 0.186719 0.20242 0.188565 -7.14425 7.94767 -5.28139 0.189475 0.199506 0.189815 0.183989 0.205307 0.187327
5593750 0.194522 0.184487 0.181369 13.7976 10.247 2.32493 0.191355 0.181868 0.181432 0.197095 0.186613 0.181317
5593750 0.214834 0.180777 0.203328 2.73059 -7.44166 4.1314 0.213485 0.18367 0.20104 0.216057 0.178154 0.205402
5593750 0.200671 0.191686 0.202147 0.954197 1.67398 -1.74522 0.199576 0.188512 0.204779 0.201834 0.195055 0.199353
5593750 0.201547 0.182261 0.183762 0.309387 1.06977 0.313882 0.199466 0.177825 0.182615 0.203001 0.185359 0.184563
