# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
4512500 0.168651 0.179759 0.179264 0.766962 0.807347 -0.038049 0.165833 0.177522 0.179118 0.171489 0.182011 0.17941
4512500 0.164895 0.182136 0.191009 -0.754572 1.5548 0.345598 0.166284 0.177495 0.18995 0.163794 0.185815 0.191849
4512500 0.166944 0.183097 0.201836 -0.346778 0.0374127 -0.0786623 0.17008 0.183235 0.202749 0.162083 0.182885 0.200421
4512500 0.164567 0.18755 0.18535 -2.04175 1.64224 0.171987 0.167165 0.184719 0.184901 0.161976 0.190373 0.185799
4512500 0.162876 0.188115 0.188796 -0.248954 0.440138 -0.838065 0.163794 0.185815 0.191849 0.161976 0.190373 0.185799
4512500 0.165608 0.187969 0.194592 0.38206 0.344289 0.650362 0.163794 0.185815 0.191849 0.167247 0.189917 0.197072
4512500 0.160131 0.191332 0.19763 -1.14363 -1.38501 -1.11924 0.161733 0.194239 0.199797 0.158838 0.188985 0.19588
4512500 0.164641 0.191959 0.19836 0.76127 -0.573245 -0.556742 0.161733 0.194239 0.199797 0.167247 0.189917 0.197072
4512500 0.169397 0.183321 0.182066 0.954503 -0.332474 -1.22408 0.167165 0.184719 0.184901 0.171489 0.182011 0.17941
4512500 0.170562 0.18891 0.197861 -0.391084 0.0525745 -0.0822582 0.174423 0.187737 0.198781 0.167247 0.189917 0.197072
4512500 0.170613 0.195885 0.195335 -0.284652 0.404227 0.563353 0.172742 0.193331 0.192518 0.168563 0.198344 0.198046
4512500 0.167706 0.192962 0.2147 -1.69828 -0.465463 -0.0485652 0.17095 0.194404 0.214625 0.163266 0.190986 0.214803
4512500 0.1676 0.197495 0.221228 0.370453 -0.438581 0.83093 0.166793 0.19927 0.218066 0.168803 0.194848 0.225945
4512500 0.168919 0.196782 0.216307 1.01071 -0.825853 -0.677046 0.166793 0.19927 0.218066 0.17095 0.194404 0.214625
4512500 0.17659 0.184541 0.170197 0.194894 0.490026 -0.120761 0.174272 0.180561 0.17158 0.178641 0.188061 0.168974
4512500 0.17254 0.18505 0.177734 0.393131 1.03259 -0.817609 0.171489 0.182011 0.17941 0.173743 0.188532 0.175814
4512500 0.182414 0.180938 0.182893 1.28912 -1.51535 0.35196 0.180099 0.184608 0.182449 0.184267 0.178001 0.183247
4512500 0.1794 0.18306 0.202623 -0.146476 -0.374474 -0.165763 0.180662 0.186938 0.205073 0.17778 0.178084 0.199479
4512500 0.170976 0.181034 0.204994 0.193174 -0.337752 0.286789 0.17008 0.183235 0.202749 0.171804 0.179002 0.207067
4512500 0.171996 0.185221 0.200998 0.35669 0.254165 -0.262911 0.17008 0.183235 0.202749 0.174423 0.187737 0.198781
4512500 0.17239 0.18129 0.208946 -0.197452 -0.566571 -0.64043 0.173214 0.184509 0.21159 0.171804 0.179002 0.207067
4512500 0.179113 0.181479 0.233514 -1.47388 0.546824 1.4712 0.181207 0.180128 0.231084 0.176319 0.183282 0.236756
4512500 0.18187 0.18344 0.217463 -0.216124 -0.251202 0.00463178 0.183895 0.186699 0.21727 0.179053 0.178907 0.217732
4512500 0.181549 0.182589 0.228645 0.419193 1.26763 -1.60444 0.181207 0.180128 0.231084 0.182 0.18583 0.225435
4512500 0.172215 0.189703 0.172132 0.631141 -0.273919 1.0462 0.170654 0.190901 0.16837 0.173743 0.188532 0.175814
4512500 0.182538 0.189756 0.168791 0.636321 0.163479 -0.0304428 0.178641 0.188061 0.168974 0.187477 0.191904 0.168561
4512500 0.180242 0.18847 0.180424 0.135089 0.836198 -0.328774 0.180099 0.184608 0.182449 0.180366 0.191805 0.178675
4512500 0.176829 0.18735 0.183358 0.310441 -0.355445 -0.0788945 0.173468 0.190168 0.184292 0.180099 0.184608 0.182449
4512500 0.177216 0.190248 0.177314 0.946849 0.326276 0.518767 0.173743 0.188532 0.175814 0.180366 0.191805 0.178675
4512500 0.180147 0.19335 0.175246 -0.0908143 -0.808556 2.67874 0.179962 0.194651 0.17236 0.180366 0.191805 0.178675
4512500 0.177903 0.189931 0.198334 0.928443 0.414966 -0.186589 0.174423 0.187737 0.198781 0.180681 0.191683 0.197977
4512500 0.185944 0.192791 0.187908 0.694936 0.332621 0.487849 0.18267 0.191683 0.186025 0.18944 0.193974 0.189919
4512500 0.183436 0.190105 0.197065 -1.45718 0.553333 0.537425 0.187194 0.187953 0.195821 0.180681 0.191683 0.197977
4512500 0.188949 0.196515 0.198019 -2.19933 0.964196 -0.472704 0.192847 0.194313 0.1995 0.184803 0.198856 0.196444
4512500 0.175628 0.187967 0.212088 0.734844 0.761111 0.103181 0.173214 0.184509 0.21159 0.178155 0.191586 0.212609
4512500 0.17415 0.193152 0.21373 -1.82309 1.06789 0.454475 0.178155 0.191586 0.212609 0.17095 0.194404 0.214625
4512500 0.175065 0.200154 0.203391 -1.06611 1.05806 -0.57676 0.178891 0.196811 0.204528 0.172752 0.202174 0.202704
4512500 0.182454 0.190982 0.211656 3.11561 -0.0251743 -0.390554 0.178155 0.191586 0.212609 0.186351 0.190434 0.210791
4512500 0.185093 0.188522 0.214108 0.121203 0.219614 -0.519236 0.183895 0.186699 0.21727 0.186351 0.190434 0.210791
4512500 0.198268 0.181962 0.164224 0.878833 -2.45892 2.10824 0.197616 0.185777 0.161558 0.19892 0.178152 0.166887
4512500 0.191904 0.18108 0.168597 -0.471777 -1.5499 -0.203703 0.193467 0.184675 0.169542 0.190402 0.177628 0.167689
4512500 0.197198 0.180733 0.178104 0.340658 0.304363 3.43559 0.197394 0.180558 0.174592 0.197013 0.1809 0.181435
4512500 0.198152 0.183404 0.183328 -0.367867 -1.38912 -0.844037 0.199505 0.18638 0.185577 0.197013 0.1809 0.181435
4512500 0.199402 0.183003 0.173047 1.15263 1.01397 -0.887124 0.197394 0.180558 0.174592 0.2023 0.186531 0.170817
4512500 0.192905 0.181047 0.18727 -0.959536 1.06563 -0.558863 0.195595 0.178189 0.188124 0.189239 0.184944 0.186105
4512500 0.197918 0.179395 0.191169 3.25069 2.10585 3.37772 0.195595 0.178189 0.188124 0.200808 0.180894 0.194956
4512500 0.190828 0.183897 0.219842 -0.681121 1.96345 2.11212 0.191839 0.179781 0.216614 0.190046 0.187084 0.222342
4512500 0.194497 0.181067 0.23751 0.318819 0.213513 -1.23187 0.193549 0.181038 0.241003 0.195807 0.181108 0.23268
4512500 0.191737 0.183787 0.233817 -6.3881 3.16096 0.905054 0.195807 0.181108 0.23268 0.186599 0.187171 0.235252
4512500 0.200039 0.179992 0.235108 -1.75969 0.805738 -0.960198 0.203888 0.178977 0.237316 0.195807 0.181108 0.23268
4512500 0.194465 0.188222 0.171184 0.329976 1.26254 0.849344 0.193467 0.184675 0.169542 0.195314 0.191243 0.172582
4512500 0.190541 0.195994 0.18086 0.658939 1.93726 1.5042 0.18964 0.191887 0.178529 0.191221 0.199096 0.182621
4512500 0.189452 0.18864 0.182071 -0.0411339 -0.807729 1.22361 0.18964 0.191887 0.178529 0.189239 0.184944 0.186105
4512500 0.189338 0.202155 0.183153 -0.571958 0.662388 0.129286 0.191221 0.199096 0.182621 0.187566 0.205032 0.183653
4512500 0.197863 0.193476 0.172013 1.28471 0.803234 -0.260508 0.195314 0.191243 0.172582 0.201845 0.196967 0.171124
4512500 0.197714 0.187422 0.18896 -0.612053 0.669227 1.65276 0.199505 0.18638 0.185577 0.195676 0.188609 0.192813
4512500 0.192445 0.191388 0.191314 -1.64756 1.01356 -0.577311 0.195676 0.188609 0.192813 0.18944 0.193974 0.189919
4512500 0.196643 0.191686 0.189649 -0.419898 -0.825383 1.14051 0.19768 0.194985 0.186257 0.195676 0.188609 0.192813
4512500 0.194292 0.1914 0.196084 0.606408 -0.875001 -1.45303 0.192847 0.194313 0.1995 0.195676 0.188609 0.192813
4512500 0.195039 0.191892 0.202903 1.02169 -0.732664 1.51294 0.192847 0.194313 0.1995 0.196619 0.190146 0.205356
4512500 0.192629 0.195248 0.204118 -0.109308 0.0532303 0.963755 0.192847 0.194313 0.1995 0.192417 0.196157 0.208612
4512500 0.198113 0.184945 0.193831 -2.42086 2.74183 -1.19793 0.200808 0.180894 0.194956 0.195676 0.188609 0.192813
4512500 0.202437 0.188241 0.183658 1.22638 0.496401 -0.723472 0.199505 0.18638 0.185577 0.207451 0.191424 0.180376
4512500 0.203007 0.185587 0.187267 0.455386 -0.179182 0.282369 0.199505 0.18638 0.185577 0.206695 0.184753 0.189046
4512500 0.199108 0.198372 0.183101 0.524692 0.898512 -0.694582 0.19768 0.194985 0.186257 0.200516 0.201712 0.179991
4512500 0.189186 0.19311 0.209773 1.65561 1.30605 -0.867408 0.186351 0.190434 0.210791 0.192417 0.196157 0.208612
