# ts x y z Fx Fy Fz x1 y1 z1 x2 y2 z2
5281250 0.182167 0.18114 0.198327 -24.5723 24.5203 11.6389 0.18604 0.177727 0.197406 0.17766 0.18511 0.1994
5281250 0.183387 0.196966 0.197047 -30.4002 15.8772 16.1676 0.187163 0.194864 0.195787 0.180619 0.198506 0.197971
5281250 0.19822 0.190309 0.183247 -9.08596 -14.2658 -9.38259 0.199583 0.193233 0.185551 0.197073 0.187847 0.181306
5281250 0.20018 0.179899 0.187483 3.60591 1.6987 11.1735 0.199425 0.179085 0.182576 0.200696 0.180455 0.190832
5281250 0.190012 0.178902 0.194186 4.01953 1.88847 -2.79544 0.18604 0.177727 0.197406 0.192654 0.179684 0.192044
5281250 0.19408 0.182274 0.19019 -2.82841 -3.81846 2.31487 0.19572 0.185254 0.188057 0.192654 0.179684 0.192044
5281250 0.185883 0.182992 0.191042 -0.0194522 35.0837 34.5447 0.185676 0.180279 0.189057 0.186146 0.186437 0.193561
5281250 0.192958 0.188037 0.187197 -16.2142 13.7108 -7.77238 0.19572 0.185254 0.188057 0.189191 0.19183 0.186024
5281250 0.198069 0.186403 0.191105 2.76373 2.24916 4.80403 0.19572 0.185254 0.188057 0.20099 0.187832 0.194895
5281250 0.186694 0.179177 0.208601 11.9264 -10.9358 -21.265 0.185281 0.181402 0.212081 0.187799 0.177438 0.20588
5281250 0.190206 0.17983 0.20624 -21.6003 -20.1646 -7.90409 0.193612 0.183214 0.20675 0.187799 0.177438 0.20588
5281250 0.188225 0.183848 0.214187 12.6198 7.13213 8.59709 0.185281 0.181402 0.212081 0.191814 0.18683 0.216754
5281250 0.197012 0.180249 0.216751 3.54487 2.62548 6.31582 0.19556 0.179614 0.213879 0.199174 0.181193 0.221024
5281250 0.197231 0.180082 0.207406 -9.18789 7.26352 0.188083 0.201072 0.176758 0.208103 0.193612 0.183214 0.20675
5281250 0.197765 0.19426 0.188924 -4.74329 1.71665 6.22999 0.199583 0.193233 0.185551 0.195695 0.19543 0.192764
5281250 0.192464 0.198179 0.191221 -23.2712 20.0475 -5.91267 0.195695 0.19543 0.192764 0.189458 0.200736 0.189786
5281250 0.19821 0.191822 0.193776 -33.706 37.7885 -17.6601 0.20099 0.187832 0.194895 0.195695 0.19543 0.192764
5281250 0.202488 0.195066 0.183566 2.139 1.56203 -2.1095 0.199583 0.193233 0.185551 0.207457 0.198201 0.18017
5281250 0.203109 0.192452 0.187193 9.15302 -3.3239 3.27254 0.199583 0.193233 0.185551 0.206822 0.19163 0.188921
5281250 0.18914 0.199921 0.209827 30.4011 29.7276 -18.1063 0.186198 0.197367 0.210839 0.192492 0.20283 0.208674
5281250 0.199675 0.192822 0.216444 -1.41663 -1.78531 3.19627 0.200735 0.194829 0.212228 0.198895 0.191345 0.219546
