# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -62529.932467 -8313.332762 10239.558122 -84895.645234 -26093.203129 -67786.538879
0.033333 0.011028 0.011111 -102664.539520 -23200.128047 3890.225867 -103135.608420 -23034.587756 -48414.500512
0.055556 0.011028 0.011111 -83865.534293 25663.716995 7879.067857 -98219.272196 -16097.102312 -44357.535101
0.077778 0.011028 0.011111 -109762.391960 15600.172479 -1014.768081 -92372.156962 -10682.829758 -44570.402697
0.100000 0.011028 0.011111 -103294.292300 12932.994992 -12781.926552 -79497.602287 -60791.394255 -46409.860296
0.122222 0.011028 0.011111 -98227.777113 -1920.229887 5311.571895 -70376.823463 -16711.535133 -58318.638741
0.144444 0.011028 0.011111 -108509.642420 -2845.360749 12706.704187 -101563.573890 -15361.876690 -54561.148895
0.166667 0.011028 0.011111 -111170.284020 -24077.089605 15125.312170 -83771.187202 -18594.217074 -64203.341131
0.188889 0.011028 0.011111 -113368.230630 -7825.400112 26355.448970 -103208.400450 -25734.776702 -12114.076627
0.211111 0.011028 0.011111 -97105.920684 -2206.773705 -875.987265 -92290.019373 -32920.652232 -31589.907902
0.233333 0.011028 0.011111 -68312.715610 28373.697382 6989.918399 -114069.175430 -24381.758517 -77331.754734
0.255556 0.011028 0.011111 -96015.023371 25192.417595 -22170.256833 -59083.276559 -4362.201855 -59454.056854
0.277778 0.011028 0.011111 -103481.255540 -24685.747851 1494.254180 -95513.983006 -27485.631754 -36083.788357
0.300000 0.011028 0.011111 -90758.525732 -16457.504255 14950.477917 -68226.286977 -15993.852500 -39818.092291
0.322222 0.011028 0.011111 -76122.435476 -23040.821556 -780.755955 -93223.945978 -69391.119556 -30324.708410
0.344444 0.011028 0.011111 -99353.230941 13252.537032 -2138.697839 -79552.521985 -14744.319585 -51808.627103
0.366667 0.011028 0.011111 -88989.812353 5217.622736 19144.672270 -96939.714892 -37088.190149 -22332.112350
0.388889 0.011028 0.011111 -31776.487811 -16234.979001 -11311.588705 -85502.957737 -10337.328563 -59711.615291
0.011111 0.033083 0.011111 -53507.534227 7247.988470 -2123.594987 -136360.898070 -17875.313072 -100165.401730
0.033333 0.033083 0.011111 -152972.915740 32596.926496 731.873191 -135421.870500 -9295.210582 -55566.706666
0.055556 0.033083 0.011111 -147755.705210 6377.564341 -12227.701359 -194772.482210 12856.516722 -88731.095392
0.077778 0.033083 0.011111 -104887.162700 -5304.383916 -30043.353023 -166041.012960 -14821.487689 -110295.929290
0.100000 0.033083 0.011111 -127098.155850 -42710.931789 8957.457475 -174505.672080 -3163.597787 -95401.315931
0.122222 0.033083 0.011111 -136809.233280 4498.365161 -22062.838311 -129469.438090 -26934.855340 -55544.924034
0.144444 0.033083 0.011111 -136625.889450 -4662.345304 11669.536443 -161314.257520 -5421.829015 -61714.847558
0.166667 0.033083 0.011111 -142944.551620 14499.007056 5389.726209 -191862.192960 -14016.753990 -78885.312039
0.188889 0.033083 0.011111 -169645.149550 -7623.713323 8004.115713 -173300.685280 3865.263796 -106853.514920
0.211111 0.033083 0.011111 -212723.769400 5193.858146 29118.671436 -201895.012520 -44229.561795 -76725.048871
0.233333 0.033083 0.011111 -245784.128680 -11689.269699 -30878.411860 -197250.907540 11268.680304 -103880.620460
0.255556 0.033083 0.011111 -172500.317140 10532.370588 -17171.286871 -157287.723370 13444.206347 -74283.170293
0.277778 0.033083 0.011111 -148486.828670 3333.885431 -15478.493610 -150640.227850 1289.422568 -56707.326458
0.300000 0.033083 0.011111 -199160.717800 -6304.730620 -36503.190973 -211381.595760 -14331.903960 -90683.326466
0.322222 0.033083 0.011111 -190897.700140 12216.786375 -28334.974905 -136736.388790 -34247.690084 -94965.458177
0.344444 0.033083 0.011111 -136437.815620 10481.331969 10555.768067 -161520.923130 -1507.674392 -94464.485092
0.366667 0.033083 0.011111 -139344.618230 3030.324784 -349.604808 -151873.050920 -15742.246183 -46261.385096
0.388889 0.033083 0.011111 -100802.456330 9555.398258 19911.279643 -189206.745050 11422.043932 -103555.936040
0.011111 0.055139 0.011111 -67023.862796 176.072186 19218.644293 -186843.216350 27690.610035 -96379.828993
