# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -87914.095654 -3805.367969 30959.209541 -215453.862400 -17516.160681 -67629.292381
0.033333 0.011028 0.011111 -151171.958390 -8403.064391 -6396.489798 -198323.029520 -57018.150616 -55254.608867
0.055556 0.011028 0.011111 -117044.320020 -7684.339381 -32933.117935 -260003.966600 -16505.812477 -53741.557115
0.077778 0.011028 0.011111 -140040.795330 -6731.347477 3378.247020 -167229.322020 -42559.514542 -35727.974769
0.100000 0.011028 0.011111 -159659.530660 8015.807975 -27687.334530 -155409.050980 -85670.703543 -25340.779933
0.122222 0.011028 0.011111 -120522.091800 -29928.612479 -6241.309500 -178245.334200 -15565.262654 -86685.603909
0.144444 0.011028 0.011111 -143928.112430 -27978.072456 32029.925608 -190610.724770 -72810.749379 -67834.417822
0.166667 0.011028 0.011111 -68147.060150 4877.187210 16567.596105 -191275.040520 -42437.916217 -52262.821267
0.188889 0.011028 0.011111 -92861.141366 -26143.038183 17132.625784 -193966.131950 -51578.362161 -40366.855879
0.211111 0.011028 0.011111 -100412.297490 -26538.020709 -22525.405947 -199902.486990 -58012.213891 -10854.681272
0.233333 0.011028 0.011111 -86902.775605 -2116.575574 -10981.672469 -191686.030340 10360.137568 -101029.198250
0.255556 0.011028 0.011111 -148239.630120 24832.729348 -5064.853025 -179109.156070 17662.502981 -69196.531056
0.277778 0.011028 0.011111 -133728.379910 -43547.565300 -18801.205035 -219126.929380 -14533.304885 -37201.850742
0.300000 0.011028 0.011111 -88804.689495 -47425.459854 101.402993 -175522.114190 -72852.225243 -98405.109182
0.322222 0.011028 0.011111 -148856.802920 -28850.830001 -33279.550971 -195257.620310 -85094.060174 -55728.232554
0.344444 0.011028 0.011111 -108303.022120 16685.997386 10204.242794 -185443.741610 -27381.913473 -59979.068060
0.366667 0.011028 0.011111 -101413.161940 8982.453826 6088.745104 -183721.437030 -15579.608544 -45141.212782
0.388889 0.011028 0.011111 -36758.135623 -15535.934580 -24978.707364 -159924.808170 -34404.738671 -88361.020105
0.011111 0.033083 0.011111 -27520.078637 2798.190810 -21259.818861 -371133.030160 -44084.391334 -138655.763490
0.033333 0.033083 0.011111 -213029.517100 -10551.097849 9103.818947 -386456.907840 9123.819465 -114553.121080
0.055556 0.033083 0.011111 -255115.265550 -18751.617654 -31643.170667 -431950.831970 -41931.419053 -128676.862930
0.077778 0.033083 0.011111 -237482.582550 45777.025951 -19155.963215 -412532.293000 1212.128145 -117992.794890
0.100000 0.033083 0.011111 -242714.155610 -4529.985587 -3030.720852 -297578.135920 -2668.737686 -126438.000120
0.122222 0.033083 0.011111 -192340.856290 -9226.768851 -57981.228049 -393217.028890 32265.406578 -26678.458814
0.144444 0.033083 0.011111 -192130.440400 55624.782032 914.423913 -281062.616120 -15631.868939 -94892.687033
0.166667 0.033083 0.011111 -243653.310760 -9283.509391 57156.393003 -440115.075590 -50000.940443 -35252.231258
0.188889 0.033083 0.011111 -163070.040480 1552.286283 59179.445114 -372342.774470 -42240.108749 -131674.688170
0.211111 0.033083 0.011111 -216004.016590 92462.107757 23821.747195 -445953.132900 -34483.791058 -92691.429415
0.233333 0.033083 0.011111 -255861.072060 -11942.912380 9425.838953 -376979.198090 106225.275750 -104281.025400
0.255556 0.033083 0.011111 -221158.944510 -15907.848451 -3845.577449 -393007.274340 -1258.912174 -89600.618771
0.277778 0.033083 0.011111 -161163.482360 -49310.669454 17085.960785 -292518.682350 8836.114274 -57378.397225
0.300000 0.033083 0.011111 -271323.447670 -16602.907323 -6511.510227 -431047.201690 26717.385010 -74298.976207
0.322222 0.033083 0.011111 -228961.166620 -7085.746320 1138.084063 -344907.937640 -78081.058646 -106359.008180
0.344444 0.033083 0.011111 -192650.979410 -23855.596965 11412.558263 -275847.011630 8544.041356 -106223.529950
0.366667 0.033083 0.011111 -220275.083800 -55519.430975 -22127.588575 -369688.014220 12494.558309 -31.271756
0.388889 0.033083 0.011111 -124812.828940 35882.335093 -61737.014769 -333244.514150 -26582.166525 -151565.818270
0.011111 0.055139 0.011111 -140398.574020 -30920.248883 -14065.993044 -422983.755520 72028.320216 -92675.041397
0.033333 0.055139 0.011111 -206161.703500 976.070222 -35563.030527 -289398.742620 -21458.829982 -31417.584171
0.055556 0.055139 0.011111 -178219.080900 60205.854623 44543.571182 -349567.934340 5627.272588 -83013.682492
0.077778 0.055139 0.011111 -196925.858380 -1165.643602 -11042.968189 -509390.192220 43501.095373 -96094.640674
0.100000 0.055139 0.011111 -189912.413250 -2526.055738 18683.990890 -303588.511840 65586.169917 -113711.363560
0.122222 0.055139 0.011111 -183653.060280 6389.976045 27049.853844 -380343.333330 38963.152396 -94891.022579
0.144444 0.055139 0.011111 -199818.261990 -10159.013873 -44705.580483 -358316.801550 18146.346878 -111721.571700
0.166667 0.055139 0.011111 -174070.740540 17077.950902 -42240.817475 -310157.449690 -51840.390858 -119962.515860
0.188889 0.055139 0.011111 -275653.407680 -47726.728220 14415.516936 -452902.346330 19432.526840 -141972.967010
0.211111 0.055139 0.011111 -206987.203690 22170.225556 -6108.796160 -382612.898730 -19465.358332 -80788.707820
0.233333 0.055139 0.011111 -146704.448180 -34108.246144 -14596.875932 -298309.908530 66498.164137 -132183.260940
0.255556 0.055139 0.011111 -295562.213570 -17500.474355 21853.236476 -437641.829210 -4173.366089 -104105.590410
0.277778 0.055139 0.011111 -247884.601820 32304.724916 -18586.022595 -384605.078500 70721.457744 -113295.727600
0.300000 0.055139 0.011111 -252120.554580 -6572.953852 -12275.603303 -299111.251440 -20157.405456 -39089.931847
0.322222 0.055139 0.011111 -320194.216360 -22984.225901 21914.744474 -388553.812530 -62796.349781 -121225.186040
0.344444 0.055139 0.011111 -279441.679120 -84866.609581 45342.460266 -365910.097140 67035.873384 -105930.744360
0.366667 0.055139 0.011111 -175628.300140 19784.682923 39953.197139 -334362.170470 -25566.862978 -47349.355130
0.388889 0.055139 0.011111 -182206.441950 7569.687405 -16407.373563 -358085.103880 -43411.531852 -107620.686710
0.011111 0.077194 0.011111 -135444.485500 18818.540617 -4432.387599 -394179.342820 90195.911250 -108186.172280
0.033333 0.077194 0.011111 -227387.911930 7407.093242 -14251.122225 -293299.231860 -34656.200767 -74230.339312
0.055556 0.077194 0.011111 -200309.589540 18584.628076 -34953.329948 -428520.024650 96918.398405 -127737.548280
0.077778 0.077194 0.011111 -220405.061410 -26399.277623 10583.829796 -456891.857500 29965.931604 -114291.437840
0.100000 0.077194 0.011111 -141643.375550 16496.268218 -14076.914405 -332999.159310 1714.092453 -121935.375260
0.122222 0.077194 0.011111 -194380.106530 72257.106617 21061.167758 -344328.074410 24009.885355 -45450.053719
0.144444 0.077194 0.011111 -251433.057240 -41763.636710 -33553.450158 -370369.576730 -27003.479082 -159950.828110
0.166667 0.077194 0.011111 -144295.898960 -23555.359477 -23698.267252 -259266.853390 -1611.584131 -62826.387339
0.188889 0.077194 0.011111 -168666.859090 -3730.466923 -31664.244285 -403335.903870 -911.567894 -130771.679210
0.211111 0.077194 0.011111 -129295.330750 -13806.132713 4143.679791 -445400.005250 74538.143987 -121328.520630
0.233333 0.077194 0.011111 -200333.982510 -10057.049572 34653.680826 -389037.684370 22502.555867 -146570.663630
0.255556 0.077194 0.011111 -154763.947430 11737.175646 13485.693629 -427203.258680 25186.112455 -36681.915199
0.277778 0.077194 0.011111 -249468.915180 -15608.592767 -23386.373923 -584991.737020 88954.820238 -118841.592010
0.300000 0.077194 0.011111 -178886.347470 -8284.245910 -72542.014260 -253133.902040 -42206.453099 -79562.761130
0.322222 0.077194 0.011111 -220140.062490 -27874.730408 -25941.528985 -349046.097930 62262.123615 -127445.385290
0.344444 0.077194 0.011111 -202712.263180 29552.774269 -17351.331818 -440671.016560 16566.612274 -62072.578713
0.366667 0.077194 0.011111 -224746.072940 1107.632045 29640.609196 -429816.133460 7506.034452 -140155.459210
0.388889 0.077194 0.011111 -43319.871172 -9148.304991 -12621.424269 -396244.737520 -5854.658688 -59048.272343
0.011111 0.099250 0.011111 -94127.933112 -7056.391892 -37864.690614 -377049.046240 28250.664054 -105025.825510
0.033333 0.099250 0.011111 -196992.930260 16334.193836 4658.439235 -323001.942810 -12675.634272 -96188.455642
0.055556 0.099250 0.011111 -246109.340280 91268.321628 -192.534572 -519730.498910 -13221.958307 -73648.273338
0.077778 0.099250 0.011111 -211158.975920 21583.063917 12004.999505 -343042.170820 39655.468522 -69352.250927
0.100000 0.099250 0.011111 -191441.256190 -6387.595617 46671.197371 -386199.695980 -69307.302826 -118199.166560
0.122222 0.099250 0.011111 -146014.475010 -9972.742208 85051.338556 -341794.529800 -60293.527124 -70031.072787
0.144444 0.099250 0.011111 -181040.047860 -2903.925655 58919.066916 -342820.914250 10100.213456 -30337.826450
0.166667 0.099250 0.011111 -243641.375760 6411.197784 42910.148768 -347822.298650 19258.432336 -138244.931750
0.188889 0.099250 0.011111 -161148.245070 145.958994 2190.078770 -299701.271520 39525.718314 -85557.585616
