# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -76855.741464 7721.817582 13511.748021 -151430.485350 -46478.091786 -70051.352508
0.033333 0.011028 0.011111 -111775.185820 -10845.631558 8649.871298 -131443.284200 -43279.877292 -36539.430706
0.055556 0.011028 0.011111 -105656.947980 48350.383792 -9861.797113 -157208.729800 -11564.106483 -36953.470442
0.077778 0.011028 0.011111 -123219.880940 16879.172121 10077.071991 -136691.989870 -25777.308103 -58895.868153
0.100000 0.011028 0.011111 -126180.699110 15502.920502 -5276.773215 -126485.771860 -79879.467147 -41666.128131
0.122222 0.011028 0.011111 -99685.683059 6377.912294 2029.931093 -115586.734730 -14616.621137 -71348.254849
0.144444 0.011028 0.011111 -141641.081780 5732.438175 857.677553 -142896.711010 -51891.882084 -56353.461439
0.166667 0.011028 0.011111 -125878.554850 -15755.180469 -5566.914801 -137603.414020 -23643.896015 -53898.339059
0.188889 0.011028 0.011111 -108348.407830 -1266.815767 17289.127854 -125059.404220 -26148.160021 -44132.941824
0.211111 0.011028 0.011111 -108420.984840 6640.989179 -17356.342100 -152910.215750 -35187.237937 -13963.793236
0.233333 0.011028 0.011111 -84153.373862 45996.458420 13514.732661 -157143.425570 -16915.488443 -93076.792145
0.255556 0.011028 0.011111 -128747.528970 15528.454341 -20721.605610 -116416.348000 1594.667721 -79832.896041
0.277778 0.011028 0.011111 -108770.966640 -29184.475299 1629.539812 -136751.049910 -19524.201832 -25210.209826
0.300000 0.011028 0.011111 -76771.621299 -23608.918484 -1291.211216 -123661.638940 -38106.943574 -72686.571544
0.322222 0.011028 0.011111 -101345.137130 -25380.791720 -20329.615637 -138673.009550 -47983.615625 -51020.234638
0.344444 0.011028 0.011111 -106555.179840 16442.770951 5364.252372 -148187.972420 -58110.328773 -67172.563680
0.366667 0.011028 0.011111 -107298.231660 2230.359616 6737.768732 -142725.255920 -18689.450205 -28989.252998
0.388889 0.011028 0.011111 -49039.817351 -25653.259305 -11148.835033 -114373.626450 -27472.061517 -70835.674360
0.011111 0.033083 0.011111 -52138.731779 13031.310640 8314.973869 -276964.663170 -21634.599874 -132222.401370
0.033333 0.033083 0.011111 -204001.277860 5593.110519 -5708.171079 -228332.071980 -18761.317251 -63120.865647
0.055556 0.033083 0.011111 -188141.409620 -7514.028201 -24795.975470 -310240.011950 18148.644589 -132618.980560
0.077778 0.033083 0.011111 -180128.198960 18815.446561 -20796.519783 -276876.562730 -30727.919816 -113583.499810
0.100000 0.033083 0.011111 -195396.568280 -34781.103023 15046.321160 -236567.117550 -1949.712533 -120688.963810
0.122222 0.033083 0.011111 -184211.112830 1445.914380 161.850486 -198047.755430 -18923.787442 -34586.505715
0.144444 0.033083 0.011111 -151182.358050 10065.190764 28601.667986 -244484.636090 -1245.426181 -90783.193937
0.166667 0.033083 0.011111 -161704.681890 16088.322694 3390.586562 -278461.707000 -38265.661886 -93121.454515
0.188889 0.033083 0.011111 -204212.132200 5595.612068 16433.489113 -255636.004170 20314.195421 -108313.778820
0.211111 0.033083 0.011111 -280983.073270 23362.962351 20314.239810 -328560.873010 -49292.413353 -140045.315850
0.233333 0.033083 0.011111 -297376.580510 -52806.750368 11176.374009 -277429.615900 59916.815131 -102251.139400
0.255556 0.033083 0.011111 -197103.518630 -13184.784498 -16562.517322 -271177.815880 7708.658107 -70860.165388
0.277778 0.033083 0.011111 -126807.265710 -55476.920201 -17745.786774 -184572.460530 28446.515200 -72202.453106
0.300000 0.033083 0.011111 -227672.918700 -12879.966408 -7315.607382 -318332.557460 -23383.289148 -78709.061527
0.322222 0.033083 0.011111 -227820.607880 3273.702909 -26499.300146 -247622.583120 -11239.262478 -100670.512680
0.344444 0.033083 0.011111 -200087.587090 -17851.568973 -14323.480537 -253957.219850 -16594.428303 -125002.650960
0.366667 0.033083 0.011111 -196084.941860 -33860.157168 13499.665359 -257252.059830 -3625.024927 -53814.039784
0.388889 0.033083 0.011111 -103109.227050 -4134.792734 24277.483645 -249496.169960 -16801.550829 -118077.434610
0.011111 0.055139 0.011111 -119153.901660 11321.556663 -9944.562842 -314938.029990 23023.868053 -92745.422553
0.033333 0.055139 0.011111 -183480.593490 11951.681506 -24787.133357 -174338.889730 779.749873 -55761.593470
0.055556 0.055139 0.011111 -179827.810060 -3177.708244 46421.649430 -268954.531440 -44408.227854 -69273.962989
0.077778 0.055139 0.011111 -149146.323140 18531.141823 7555.439848 -284803.906470 26444.588623 -67208.383340
0.100000 0.055139 0.011111 -121517.938740 1251.622010 5918.312341 -211192.584540 11655.672057 -145327.680850
0.122222 0.055139 0.011111 -160018.311340 -725.933438 38184.165439 -244426.195770 -22496.519450 -93447.148937
0.144444 0.055139 0.011111 -202812.463030 -5643.734852 -80732.104732 -234148.033580 32081.657289 -85447.794657
0.166667 0.055139 0.011111 -191454.144900 43080.550723 -33500.858257 -237206.106540 -47641.382325 -114978.187530
0.188889 0.055139 0.011111 -204032.045620 -9618.478697 33860.249814 -290187.256260 11053.720364 -135162.333460
0.211111 0.055139 0.011111 -161452.301310 19693.792782 -4528.242942 -235063.970660 -3318.775900 -41333.610084
0.233333 0.055139 0.011111 -141810.916170 -15296.425058 -30328.080460 -215521.418490 56503.475311 -124459.379290
0.255556 0.055139 0.011111 -243803.592860 -9797.862716 50704.575151 -283995.569820 22674.975003 -115418.071990
0.277778 0.055139 0.011111 -204821.507550 13912.084634 19391.446459 -331449.363540 27575.656645 -128489.434600
0.300000 0.055139 0.011111 -198026.745920 -5409.035699 -4926.813863 -182928.217750 -32447.347025 -66551.217466
0.322222 0.055139 0.011111 -217736.896930 901.653663 -28794.097363 -262882.913040 -69.598502 -116010.799610
0.344444 0.055139 0.011111 -163988.109170 -33225.648514 -41916.414664 -247518.993200 19722.270789 -110841.772370
0.366667 0.055139 0.011111 -179396.771030 -19759.772347 6135.369533 -297482.421350 25506.856963 -90190.466630
0.388889 0.055139 0.011111 -134473.179680 1318.239644 -22492.997741 -247803.491160 -6710.377931 -91286.178395
0.011111 0.077194 0.011111 -116089.116510 36145.194687 35445.304035 -279218.982150 -9944.966479 -86090.889888
