# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -6024.751749 -124.573615 -3423.444015 -8305.057312 -1755.565611 -7109.935255
0.033333 0.011028 0.011111 -12118.800372 -2167.059163 -2245.484028 -7033.803430 375.414928 -7449.320423
0.055556 0.011028 0.011111 -14367.878651 -2432.467003 2210.352999 -8563.504370 -2028.000215 -9722.680016
0.077778 0.011028 0.011111 -21136.811365 -3572.251306 3841.895939 -9593.853322 -3673.537801 -8913.174476
0.100000 0.011028 0.011111 -21139.407747 558.412966 -3851.099741 -11351.159163 -4167.561043 -11319.735163
0.122222 0.011028 0.011111 -15459.854881 -887.314160 -2275.643853 -8520.283487 -1186.332126 -9367.965997
0.144444 0.011028 0.011111 -19477.922650 1518.998572 -1025.361702 -8565.601353 -2345.823445 -7941.396884
0.166667 0.011028 0.011111 -22027.320783 -2044.753438 -2238.370028 -4823.993461 -1728.815257 -11555.722629
0.188889 0.011028 0.011111 -21993.188847 2716.794634 -1293.320952 -16533.123395 -2447.843728 -6196.008117
0.211111 0.011028 0.011111 -24871.074494 -1300.359617 -1862.810052 -11806.609321 -5476.638929 -11143.892160
0.233333 0.011028 0.011111 -31947.214706 2108.358237 2733.121337 -16516.028181 -4236.051865 -12164.976309
0.255556 0.011028 0.011111 -20622.297317 4620.682836 -1000.542392 -5834.707586 490.103757 -6525.192603
0.277778 0.011028 0.011111 -27000.128104 -643.385292 3736.187588 -12036.218731 -1799.710087 -7126.158530
0.300000 0.011028 0.011111 -22275.454941 -2257.050823 -6100.012780 -14310.947546 -1314.083491 -11392.799532
0.322222 0.011028 0.011111 -25025.061339 2004.174491 -2475.987770 -4329.126812 -3686.452259 -17524.036659
0.344444 0.011028 0.011111 -23054.453189 878.974026 4958.506907 -9788.164452 3311.286339 -15319.654191
0.366667 0.011028 0.011111 -24786.945962 4101.599489 -554.066010 -7162.725607 -1286.385485 -6946.306569
0.388889 0.011028 0.011111 -7252.912997 -2672.506358 -885.440435 -14814.507818 252.924409 -10912.873361
0.011111 0.033083 0.011111 -11171.077892 -6794.387621 2043.316186 -17055.317326 2110.060121 -17209.838924
0.033333 0.033083 0.011111 -23524.444348 1697.761643 -1929.978089 -17342.624107 -848.420039 -12475.395575
0.055556 0.033083 0.011111 -17107.334267 21.122050 -1232.971836 -10265.242976 2166.945300 -9305.759462
0.077778 0.033083 0.011111 -21320.307115 1464.953126 -7836.420241 -19832.859018 -3799.615609 -16794.016337
0.100000 0.033083 0.011111 -19674.991799 1183.903605 -2019.273226 -20990.600907 572.628910 -15367.903370
0.122222 0.033083 0.011111 -15699.526324 -482.002203 -3845.723886 -16432.428515 1073.813261 -7893.033410
0.144444 0.033083 0.011111 -18187.600101 383.584913 -4361.847290 -17070.388348 -4679.470253 -9894.067205
0.166667 0.033083 0.011111 -18822.908657 7452.839067 -3242.250861 -16123.765633 -506.212851 -14201.320044
0.188889 0.033083 0.011111 -24471.351042 -2734.066231 -1354.173438 -22726.440118 -2451.922375 -13578.628310
0.211111 0.033083 0.011111 -26405.305696 -162.223029 118.091180 -19039.419565 -5543.704098 -8856.973361
0.233333 0.033083 0.011111 -24120.794104 -4247.152130 -2476.317666 -19866.910429 2680.162982 -13538.998168
0.255556 0.033083 0.011111 -29052.434639 -6412.000184 -4230.348968 -27065.636916 415.141322 -16870.598278
0.277778 0.033083 0.011111 -24106.965035 2486.385000 -2662.441561 -19341.401673 4000.143303 -15236.127733
0.300000 0.033083 0.011111 -31188.956075 -1466.974621 -552.739982 -23847.983166 -1979.803509 -8784.022952
0.322222 0.033083 0.011111 -29772.915384 -1645.213486 -2087.126356 -12222.916371 -142.009275 -15586.950970
0.344444 0.033083 0.011111 -23235.391851 857.576547 -2998.361642 -17528.747110 3764.826339 -8580.482594
0.366667 0.033083 0.011111 -12490.870385 2042.644442 3809.388338 -11428.497459 -4006.000894 -6298.285394
0.388889 0.033083 0.011111 -13972.739651 4168.277203 -84.628917 -24789.777100 -78.873862 -12989.262636
0.011111 0.055139 0.011111 -12434.328278 2625.382297 -1727.193822 -18452.835999 5140.038868 -12077.877406
0.033333 0.055139 0.011111 -16278.735947 1975.080666 3390.338400 -14669.130243 4042.045496 -7562.228467
0.055556 0.055139 0.011111 -14039.318054 655.208916 41.082948 -16172.061709 -1932.936858 -9127.964125
0.077778 0.055139 0.011111 -19708.319976 1555.645538 -733.281219 -22734.431970 4331.392772 -2003.592493
0.100000 0.055139 0.011111 -14838.046738 -987.334882 -1884.126902 -15873.942940 1413.830202 -18623.368479
0.122222 0.055139 0.011111 -18005.629040 2491.039982 493.230941 -12836.426121 918.844719 -7349.016525
0.144444 0.055139 0.011111 -33695.316066 8856.736702 201.191852 -25500.637282 2935.743175 -13025.493570
0.166667 0.055139 0.011111 -22531.725052 3377.066239 1160.680381 -11423.027525 3682.859566 -8566.522686
0.188889 0.055139 0.011111 -20107.981739 5016.737986 1869.981156 -18567.077551 3141.288436 -17555.419377
