# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -10787.071632 1201.246289 -3632.219170 -14130.010572 -9751.893392 -16193.281339
0.033333 0.011028 0.011111 -31575.357578 -4279.783904 -4933.467386 -15055.746454 4003.761976 -22392.053971
0.055556 0.011028 0.011111 -26825.843501 9199.736349 6791.119230 -20632.702678 -2450.188341 -22766.360240
0.077778 0.011028 0.011111 -35517.599479 517.458450 11354.612993 -16810.776825 -6540.513554 -23782.092114
0.100000 0.011028 0.011111 -35345.155130 -3721.227786 -5440.904083 -16070.126568 -5062.056044 -21985.349928
0.122222 0.011028 0.011111 -30619.345956 1254.040777 -1690.494747 -13705.772881 -1192.243190 -32378.544129
0.144444 0.011028 0.011111 -54977.735351 -1671.918083 -1627.003809 -16349.794650 -6973.191988 -18927.070018
0.166667 0.011028 0.011111 -55103.346502 -8753.162019 -7577.796570 -10117.472446 -3477.123959 -30927.021223
0.188889 0.011028 0.011111 -63595.638087 2928.560851 11101.829186 -25480.775576 -6207.172592 -19638.009549
0.211111 0.011028 0.011111 -65942.008057 -12215.850418 5339.799978 -31445.061192 -6109.247201 -22954.941982
0.233333 0.011028 0.011111 -84082.374750 4298.044412 14931.149490 -30635.159136 -10434.181418 -36681.721305
0.255556 0.011028 0.011111 -62476.255004 10507.691620 -6365.206356 -18725.186731 -5676.559028 -25796.407749
0.277778 0.011028 0.011111 -72380.502816 876.932031 17471.820403 -21559.395334 -3587.212017 -19112.683098
0.300000 0.011028 0.011111 -60193.565885 -5747.758226 9436.813954 -23825.627292 -1250.544740 -23047.248418
0.322222 0.011028 0.011111 -61009.839427 4645.509644 8950.368380 -16851.101830 -19570.119469 -23375.875195
0.344444 0.011028 0.011111 -58724.923559 1722.196807 3002.498611 -14123.647387 8737.695148 -40693.943532
0.366667 0.011028 0.011111 -50562.608101 8946.974408 5821.046439 -13031.475285 175.494648 -23134.040422
0.388889 0.011028 0.011111 -15108.644720 2933.622689 6589.781934 -19279.475343 -137.518824 -24581.538528
0.011111 0.033083 0.011111 -32892.296944 -9568.829954 5329.561134 -30226.924420 -5545.550384 -41475.782657
0.033333 0.033083 0.011111 -69231.982592 10804.141669 -3599.849774 -31527.338354 -5916.660713 -24300.993871
0.055556 0.033083 0.011111 -54706.521128 1565.938605 -6614.528558 -33641.766672 10660.618544 -31138.759222
0.077778 0.033083 0.011111 -42942.957842 2644.486556 -11046.761273 -41577.995804 -11602.896315 -29838.277775
0.100000 0.033083 0.011111 -45172.186723 6710.485707 1065.816962 -49393.114622 8037.993753 -58295.023767
0.122222 0.033083 0.011111 -47939.761386 1260.498612 -5892.238343 -34286.573888 7801.798219 -19007.059807
0.144444 0.033083 0.011111 -33347.163619 -3304.422817 -1844.182082 -29358.699931 -22717.573651 -17838.839121
0.166667 0.033083 0.011111 -50913.178858 23385.241060 9325.095664 -38799.320613 6368.601648 -47508.953517
0.188889 0.033083 0.011111 -61656.404886 1558.789299 6126.402624 -52111.418603 -5070.224720 -28595.834355
0.211111 0.033083 0.011111 -54747.698801 -1236.456543 2296.915888 -39928.819368 -5971.174844 -14703.718973
0.233333 0.033083 0.011111 -65382.555983 -6569.654442 -8754.824218 -56226.728746 14817.789263 -39411.799456
0.255556 0.033083 0.011111 -65950.310135 -9232.567993 -12069.529752 -53988.508366 -3915.994065 -42916.397692
0.277778 0.033083 0.011111 -49037.907820 10127.544263 -3747.058639 -31837.933898 10346.056391 -28483.992207
0.300000 0.033083 0.011111 -72583.551566 -3881.886048 -11381.889232 -52750.310144 2496.671047 -50395.700592
0.322222 0.033083 0.011111 -60549.922693 1751.542820 -3712.959106 -33333.900153 -6021.500144 -35425.609520
0.344444 0.033083 0.011111 -52417.145307 2900.620143 -396.635255 -42880.634664 13290.277223 -17266.524172
0.366667 0.033083 0.011111 -32531.032365 10308.545831 4624.218013 -25741.024121 -1617.136364 -24293.069968
0.388889 0.033083 0.011111 -29527.809295 -3151.466616 3710.033071 -48554.144752 5293.951865 -34505.905201
0.011111 0.055139 0.011111 -23171.195528 3723.838858 -2249.118401 -39437.838163 2006.207291 -30752.735115
0.033333 0.055139 0.011111 -34276.089329 -172.937409 5613.136602 -41986.597398 6264.716160 -22481.494764
0.055556 0.055139 0.011111 -33315.466874 -1083.253616 4452.457701 -21136.398253 -5452.125812 -26079.546631
0.077778 0.055139 0.011111 -62364.269042 4965.302868 4660.058489 -41405.802434 -5409.243964 -15584.637207
0.100000 0.055139 0.011111 -44765.307924 1059.857300 2418.203910 -34421.395032 4371.207139 -39702.285361
0.122222 0.055139 0.011111 -48865.165188 8208.653392 1415.942751 -32931.059527 -2841.783874 -30595.329416
0.144444 0.055139 0.011111 -75271.768639 20728.970344 -2073.721376 -59077.185636 -4548.121442 -44393.373574
0.166667 0.055139 0.011111 -60176.376046 17707.327268 12029.346144 -26442.332310 11721.729649 -28630.913309
0.188889 0.055139 0.011111 -58606.940001 15757.201483 9971.407268 -39886.029521 -2898.133938 -48590.991120
0.211111 0.055139 0.011111 -51015.679638 -1407.286225 -15292.224359 -28849.565104 -10199.996015 -17052.383354
0.233333 0.055139 0.011111 -40052.576124 6703.665579 12632.163188 -45548.587491 7543.161374 -36183.020413
0.255556 0.055139 0.011111 -57543.029074 -7683.244046 9762.866805 -35579.666459 -4346.414608 -30537.064067
0.277778 0.055139 0.011111 -75867.252937 -15761.485257 12869.913560 -69895.243728 6529.450192 -36309.034100
0.300000 0.055139 0.011111 -52348.624702 -729.837626 22924.063449 -31160.422064 -7181.384534 -15916.830376
0.322222 0.055139 0.011111 -74071.249661 823.212774 1731.856290 -37433.513020 -3152.948471 -22243.011118
0.344444 0.055139 0.011111 -48218.331340 14970.115382 -2072.516636 -28865.067276 -4293.703277 -32597.816052
0.366667 0.055139 0.011111 -79651.611473 -3901.713694 3280.312799 -42621.050563 -10215.050718 -43582.251940
0.388889 0.055139 0.011111 -43441.153592 2086.494620 1644.237648 -42594.364527 -6259.878015 -31772.650528
0.011111 0.077194 0.011111 -21384.317479 -447.333553 -9735.104455 -29525.907783 -4695.800065 -15615.868020
0.033333 0.077194 0.011111 -56889.479573 -1387.453011 -3566.414996 -42589.115346 -8183.534805 -39703.434769
