# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -8289.283251 -486.043970 -3581.698785 -12067.152223 -5272.806763 -11102.350688
0.033333 0.011028 0.011111 -23235.680452 -4972.763773 -7764.984581 -9940.472446 1665.682862 -16317.722559
0.055556 0.011028 0.011111 -23177.332436 3855.106355 6908.269285 -13007.188321 -3741.226234 -22037.706586
0.077778 0.011028 0.011111 -23516.962358 1523.613371 6427.185362 -11485.634874 -4929.377990 -13310.370597
0.100000 0.011028 0.011111 -23237.555521 642.883677 -5660.176104 -11327.366880 -4673.483146 -15808.362430
0.122222 0.011028 0.011111 -21524.547135 2575.700312 -1980.706991 -7432.645471 -2692.930372 -21775.469072
0.144444 0.011028 0.011111 -40280.416762 -762.513962 707.331442 -10999.024144 -3193.429472 -16897.422572
0.166667 0.011028 0.011111 -42252.709757 -1542.565953 -2134.455995 -7883.362264 -5341.988758 -20441.413989
0.188889 0.011028 0.011111 -44704.827859 2321.919623 7582.172338 -17654.509294 -2418.969261 -15973.020997
0.211111 0.011028 0.011111 -49998.653097 -3325.719397 1228.836473 -19211.557850 -8341.880771 -20103.134511
0.233333 0.011028 0.011111 -53258.935508 7969.170264 3223.274985 -23114.770437 -13527.272220 -18297.957149
0.255556 0.011028 0.011111 -36141.417405 8164.833863 -6242.870410 -15321.988550 -3659.214282 -12073.338685
0.277778 0.011028 0.011111 -45880.495478 3031.745656 5087.656415 -18136.889400 -2379.137053 -12895.928850
0.300000 0.011028 0.011111 -41576.138969 -2694.627918 3308.576989 -19361.917721 -172.561990 -20532.426901
0.322222 0.011028 0.011111 -44427.177381 5520.416505 10126.029799 -13800.525918 -15654.349007 -19692.638241
0.344444 0.011028 0.011111 -44359.518710 2091.614033 3617.003105 -6906.844898 4668.892047 -26650.360472
0.366667 0.011028 0.011111 -42201.530609 6519.911740 198.281551 -11948.296445 -1939.827814 -11843.360879
0.388889 0.011028 0.011111 -13349.725274 -142.716415 1748.908904 -14063.030898 2596.703867 -23224.822884
0.011111 0.033083 0.011111 -22503.688914 -6650.474924 3017.897699 -25131.621700 -1460.213673 -29126.827668
0.033333 0.033083 0.011111 -54753.222563 9404.449324 -1797.985952 -22400.811262 -2703.191875 -24995.018336
0.055556 0.033083 0.011111 -38482.628009 6010.868246 -4857.711663 -21026.966828 9244.331511 -20621.267209
0.077778 0.033083 0.011111 -34977.744166 1809.711646 -11708.966743 -29860.575972 -9191.937619 -23894.278062
