# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -62556.116247 -2149.973060 3835.117786 -86480.382660 -7438.252016 -51717.505067
0.033333 0.011028 0.011111 -102525.207890 -20245.992160 -6128.299421 -92481.736043 -26702.736653 -66070.676025
0.055556 0.011028 0.011111 -86350.362982 7735.339973 -13691.892302 -119353.223820 -30096.747179 -47584.056387
0.077778 0.011028 0.011111 -83954.881954 538.175125 14488.736046 -73601.076808 -29980.123383 -34218.136779
0.100000 0.011028 0.011111 -116900.052870 6886.037930 -10425.610734 -84613.979978 -62633.687142 -59649.435164
0.122222 0.011028 0.011111 -103930.832190 6744.625105 -3324.550337 -70828.395147 -20080.614364 -65205.912421
0.144444 0.011028 0.011111 -125595.563590 -9685.231790 -2937.128267 -97169.782264 -18942.784827 -58133.826371
0.166667 0.011028 0.011111 -114502.920230 -20255.562900 -7880.352198 -94373.193518 -6573.584955 -81516.827812
0.188889 0.011028 0.011111 -126995.750880 570.072209 11614.805583 -88448.402896 -20321.742958 -27145.580028
0.211111 0.011028 0.011111 -122852.551170 -16944.497070 -2469.299382 -97533.505839 -21992.036669 -35952.651588
0.233333 0.011028 0.011111 -75337.438142 30986.532389 19222.753723 -128399.304170 -30345.926986 -77869.056928
0.255556 0.011028 0.011111 -94609.744945 27133.948896 -5762.618501 -49236.333686 -12245.196340 -76906.775794
0.277778 0.011028 0.011111 -112780.995020 -16207.295243 15866.974653 -112900.738570 -20103.631558 -44895.821875
0.300000 0.011028 0.011111 -108588.542790 -36105.007403 -4362.325483 -83487.089434 -26230.803697 -57975.257824
0.322222 0.011028 0.011111 -118699.743800 -24809.847827 -8349.512957 -79781.062759 -48596.089655 -53912.131044
0.344444 0.011028 0.011111 -95739.220804 12947.944150 -3988.356516 -78804.230833 -13743.736166 -80643.366602
0.366667 0.011028 0.011111 -78514.261314 7121.531137 17609.980934 -93651.957725 -29160.048045 -23084.708350
0.388889 0.011028 0.011111 -40183.133262 -20387.061137 -12638.489977 -92208.520261 -1444.099505 -69794.758451
0.011111 0.033083 0.011111 -80285.729450 -8388.408230 -7525.682614 -155941.693150 -6258.164320 -107533.731760
0.033333 0.033083 0.011111 -160536.655090 16162.813311 -15505.458218 -158218.343870 -23588.895838 -50964.580795
0.055556 0.033083 0.011111 -130986.796450 3260.804316 -15402.491479 -177652.208550 -24809.048862 -74085.493207
0.077778 0.033083 0.011111 -134836.840550 501.152476 -13895.814477 -190515.986380 -13987.195335 -127026.596970
0.100000 0.033083 0.011111 -126507.776200 -9603.169712 -15706.395411 -164199.452520 -7803.641575 -110828.372160
