# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -22534.691083 -4454.142659 3555.623478 -26012.039322 -7289.661273 -33752.970207
0.033333 0.011028 0.011111 -56658.539953 -11820.225940 -11842.305178 -36703.042978 -5509.500670 -33929.523897
0.055556 0.011028 0.011111 -46710.667494 22513.656616 11046.674045 -38432.066361 -8348.777127 -33957.934771
0.077778 0.011028 0.011111 -59713.491023 -807.603041 4439.423559 -38524.287907 -12084.562322 -28536.771538
0.100000 0.011028 0.011111 -50782.348618 226.314603 -11514.502104 -29973.854070 -17510.631698 -25091.732438
0.122222 0.011028 0.011111 -42353.466889 503.503837 -1577.936254 -23450.588148 -5199.702016 -42466.994770
0.144444 0.011028 0.011111 -68972.485527 -5001.222634 870.363644 -21785.593618 -910.082505 -38107.498043
0.166667 0.011028 0.011111 -87506.006433 -14348.251861 -11837.567096 -27956.874031 -6749.449769 -42193.554418
0.188889 0.011028 0.011111 -83590.175564 -5143.460013 7161.102819 -40037.374145 -17814.216364 -27854.289296
0.211111 0.011028 0.011111 -62353.235010 -5935.522317 1289.703970 -37920.706847 -5582.738340 -14323.602737
0.233333 0.011028 0.011111 -61749.112914 11996.465016 24070.291051 -46233.443233 2284.244467 -39008.705413
0.255556 0.011028 0.011111 -44585.348586 7419.108237 180.978212 -20559.467566 6613.716731 -42355.342394
0.277778 0.011028 0.011111 -68594.322380 4425.490225 10811.813775 -27419.356047 1869.765999 -34245.207835
0.300000 0.011028 0.011111 -68241.871535 606.056855 -2604.353450 -31844.687658 4120.983283 -33116.063233
0.322222 0.011028 0.011111 -74462.480423 -978.046246 11367.479164 -33452.100462 -39561.227549 -32639.220940
0.344444 0.011028 0.011111 -80012.440077 -6463.704709 -6059.044463 -17001.893562 -10109.892777 -56104.653582
0.366667 0.011028 0.011111 -57934.307232 2174.853568 4014.759975 -34730.298764 6351.951536 -22252.138773
0.388889 0.011028 0.011111 -19163.047372 -71.610788 10984.259002 -37468.456726 -12714.115309 -32748.989427
0.011111 0.033083 0.011111 -55758.876643 -14826.531817 -711.048869 -60561.629976 -5307.859219 -58455.372739
0.033333 0.033083 0.011111 -85463.315053 14674.130342 -18773.752424 -50686.391046 779.262631 -19961.050188
0.055556 0.033083 0.011111 -62667.641584 -11439.389207 -4650.909749 -58194.415307 19423.408767 -51027.904208
0.077778 0.033083 0.011111 -57568.940977 -1369.435780 -15005.105418 -71881.910086 -6784.166756 -53587.837795
0.100000 0.033083 0.011111 -68902.885123 -9327.009570 3854.032885 -82053.188631 1412.550379 -72938.368920
0.122222 0.033083 0.011111 -79137.321513 1237.300412 -991.027896 -60654.341900 -7574.703936 -35602.694610
0.144444 0.033083 0.011111 -53963.979298 -8068.477794 -12758.769174 -41127.803933 -17238.176198 -24569.806664
0.166667 0.033083 0.011111 -52927.444571 8184.428505 8840.685101 -66979.453242 10323.912689 -55430.090397
0.188889 0.033083 0.011111 -85739.883018 6785.420451 12056.227573 -79636.678540 -10136.636709 -57138.158691
0.211111 0.033083 0.011111 -118364.313670 -2400.598895 -4282.980188 -63502.952092 -8671.505322 -41000.001946
0.233333 0.033083 0.011111 -149119.258070 -20801.954948 -20784.285578 -88729.005652 19199.047945 -73735.532596
0.255556 0.033083 0.011111 -116038.139710 -8125.607217 -28386.807470 -80370.950067 22474.564970 -65914.286871
0.277778 0.033083 0.011111 -77589.293058 11324.311253 485.298454 -27826.698530 14121.859969 -18242.862582
0.300000 0.033083 0.011111 -124597.038630 -16780.543074 2455.507457 -87375.129937 3850.885886 -66486.966341
0.322222 0.033083 0.011111 -99465.120928 -1216.683771 2127.763820 -52860.011786 -25248.680731 -42239.263540
0.344444 0.033083 0.011111 -69872.817426 12804.519368 -4029.553583 -49792.668938 2111.002389 -49573.907112
0.366667 0.033083 0.011111 -79171.169639 11233.402270 -15756.069824 -59190.323549 9589.495925 -45889.638144
0.388889 0.033083 0.011111 -53491.245610 833.667389 11382.053564 -85050.302571 8216.617444 -67528.817806
0.011111 0.055139 0.011111 -28363.922850 -996.865720 3911.970631 -68299.419305 -834.676447 -51544.614573
0.033333 0.055139 0.011111 -56415.245780 9329.723646 12166.728887 -53837.914248 44469.654888 -46710.892427
0.055556 0.055139 0.011111 -63451.091130 1111.665440 -2290.506002 -64702.226109 1042.353805 -48956.424930
0.077778 0.055139 0.011111 -91254.938943 2693.533717 6551.237637 -74514.056653 -3975.241825 -39102.589218
0.100000 0.055139 0.011111 -66275.099655 -2036.136273 -13606.220295 -69756.538871 -17377.826614 -57036.558234
0.122222 0.055139 0.011111 -60011.747261 7853.790166 -442.680095 -43604.545333 -25944.764518 -15400.261010
0.144444 0.055139 0.011111 -97051.845008 17080.502182 130.811201 -70988.933390 1725.917195 -57883.173306
0.166667 0.055139 0.011111 -76060.381781 19869.703823 -5086.417125 -50554.393112 2740.687048 -47669.684411
0.188889 0.055139 0.011111 -82273.528756 10654.888206 24043.351163 -67705.178582 -11141.442498 -66848.785225
0.211111 0.055139 0.011111 -69018.753703 6057.286063 -2229.773226 -44701.707908 -13665.251714 -38586.868972
0.233333 0.055139 0.011111 -55913.005330 -3685.800869 14922.739367 -83700.996239 9843.482279 -59478.647809
0.255556 0.055139 0.011111 -88258.342305 -29822.086749 6646.750291 -66835.026696 -60.312548 -46951.028099
0.277778 0.055139 0.011111 -101458.840740 -25471.887000 16471.459628 -102173.559700 10678.537406 -47347.706436
0.300000 0.055139 0.011111 -86341.364499 2368.511918 27787.843569 -50987.127531 -17995.027310 -39721.259183
0.322222 0.055139 0.011111 -110012.302830 4790.273299 -1520.101738 -58429.959323 -8342.783303 -45020.163887
0.344444 0.055139 0.011111 -77523.555982 15434.149874 -2570.964839 -40734.295092 -5942.071994 -47946.591471
0.366667 0.055139 0.011111 -100713.892590 -3856.254462 23427.725838 -56942.580426 -618.084999 -55196.451227
0.388889 0.055139 0.011111 -64096.941867 -133.900729 -2957.520989 -74750.715012 3289.084351 -42743.002762
0.011111 0.077194 0.011111 -47782.189087 4261.712226 -9535.122868 -49772.431483 -1832.465542 -32537.422305
0.033333 0.077194 0.011111 -83953.161569 -2421.314815 12199.887490 -89944.092391 17299.996860 -49860.085445
0.055556 0.077194 0.011111 -100919.146020 8584.996794 20814.169035 -97198.878876 -7094.077365 -47194.694064
0.077778 0.077194 0.011111 -79460.472588 11710.903983 -5291.952089 -78853.670299 5932.670670 -39716.508869
0.100000 0.077194 0.011111 -70296.543283 9492.073025 22366.913237 -53149.859630 -38926.836274 -21465.858597
0.122222 0.077194 0.011111 -112172.526190 15342.001226 20891.675233 -93534.077098 -762.468650 -77508.518440
0.144444 0.077194 0.011111 -111802.384420 21935.034662 13789.711645 -35475.120620 -4627.087737 -58804.845593
0.166667 0.077194 0.011111 -135577.089220 12899.331566 13719.261440 -69772.210279 16411.675651 -35070.229004
0.188889 0.077194 0.011111 -85312.855012 6379.132263 -17824.864297 -69541.583899 -3749.045548 -29378.639423
0.211111 0.077194 0.011111 -65738.668085 24620.634495 -21669.953182 -64700.223111 -277.855836 -47829.520251
0.233333 0.077194 0.011111 -39052.977656 -6567.724843 10013.420025 -52144.602453 -6033.429419 -48452.792296
0.255556 0.077194 0.011111 -75848.143280 -19012.285499 13120.989565 -67672.746247 1054.616229 -42070.252940
0.277778 0.077194 0.011111 -75849.470785 -13505.556861 15843.100523 -89164.260822 -9218.978362 -55727.523871
0.300000 0.077194 0.011111 -75843.491059 10155.901442 -20278.281470 -57879.439345 -19063.537456 -39819.904412
0.322222 0.077194 0.011111 -95678.541860 15954.060311 4322.633240 -59776.802602 -12980.432377 -55207.689515
0.344444 0.077194 0.011111 -125211.677030 34671.295002 21294.392894 -68336.394183 3277.279585 -45526.780237
