# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -38707.872893 11896.515016 2616.417494 -67083.584007 7604.249382 -25393.521040
0.033333 0.011028 0.011111 -75668.924886 7500.945403 12373.134921 -71136.751770 -10027.387571 -49259.866510
0.055556 0.011028 0.011111 -84384.971624 5749.567439 -9286.429287 -98565.939122 -464.802592 -26538.494436
0.077778 0.011028 0.011111 -72678.157375 -5359.845172 -1669.156418 -58334.148242 -17433.526818 -7062.466478
0.100000 0.011028 0.011111 -79761.070673 5733.326749 -11498.120534 -61960.985274 -36738.113031 -27969.856565
0.122222 0.011028 0.011111 -61627.707355 6409.274764 -9675.679346 -61187.946462 -17063.628128 -38498.820161
0.144444 0.011028 0.011111 -62052.630833 10046.460710 6992.719753 -77092.056176 -36395.951219 -45999.752135
0.166667 0.011028 0.011111 -67853.111779 -6982.495866 -11405.415629 -60010.018826 -17150.985369 -27060.125476
0.188889 0.011028 0.011111 -55591.222620 1289.460853 24736.627768 -68190.563436 -11176.766167 -38720.907272
0.211111 0.011028 0.011111 -65046.858314 -11165.694370 4149.595725 -74782.548072 -22391.640712 -16144.191624
0.233333 0.011028 0.011111 -76519.744515 12576.888385 6476.437423 -92893.720515 -37.500453 -50093.351489
0.255556 0.011028 0.011111 -54808.656870 15489.178426 -10475.392528 -47846.023946 1075.417455 -42940.248979
0.277778 0.011028 0.011111 -74435.859557 -22145.814691 174.758830 -85615.869224 -21872.438647 -25802.268324
0.300000 0.011028 0.011111 -51144.629414 -14662.255981 -4292.218375 -48347.054376 -13972.704280 -51642.379918
0.322222 0.011028 0.011111 -77753.407559 9223.588081 -1242.204149 -53078.034103 -16831.101258 -38300.420969
0.344444 0.011028 0.011111 -60211.877448 13680.009989 -2066.177921 -70007.576155 -1634.037440 -46559.739855
0.366667 0.011028 0.011111 -61733.554589 6055.848043 21830.599981 -61832.566387 -28247.963375 -18520.783324
0.388889 0.011028 0.011111 -19422.796807 -15445.401172 -7735.985333 -72971.794487 -17186.515801 -43905.804961
0.011111 0.033083 0.011111 -44267.812133 -8466.836692 -8563.130417 -125044.647410 -7476.439554 -86288.815191
0.033333 0.033083 0.011111 -63323.460644 5938.624868 -30015.266960 -121832.395120 946.700871 -8313.985110
0.055556 0.033083 0.011111 -85567.088318 -2537.588993 -5892.368524 -141307.020330 -14667.511482 -56567.377395
0.077778 0.033083 0.011111 -93340.187124 9842.492844 -6439.491797 -144989.456120 -4289.121589 -72055.448724
0.100000 0.033083 0.011111 -66947.512754 -20822.871834 9277.055516 -135963.294510 15069.435905 -54529.581425
0.122222 0.033083 0.011111 -102911.346130 3910.854791 -19567.552959 -119297.627930 -13387.644850 -9765.999667
0.144444 0.033083 0.011111 -85594.327575 4673.541509 69.444212 -86517.116726 -21727.438782 -26134.583733
0.166667 0.033083 0.011111 -76635.451797 3305.915533 9309.906548 -175624.081270 368.483453 -53072.566093
0.188889 0.033083 0.011111 -98197.621137 5923.185093 -2524.285552 -114770.238430 3309.891838 -34841.601309
0.211111 0.033083 0.011111 -101694.806740 22643.829599 30382.031077 -140275.582270 -44320.035882 -49130.645784
0.233333 0.033083 0.011111 -119516.981550 -5554.366881 2989.395279 -129450.187010 32581.638362 -26203.299035
0.255556 0.033083 0.011111 -144693.071660 -16159.428756 3787.930573 -159907.518760 -28617.808494 -51652.669652
0.277778 0.033083 0.011111 -76239.182330 2679.709411 -9727.258369 -95682.150134 -2723.370015 -20280.016998
0.300000 0.033083 0.011111 -136760.112410 -8648.344537 -35845.388345 -160753.872440 16871.747986 -45951.982833
0.322222 0.033083 0.011111 -98218.017132 -15819.814187 -10596.909039 -102277.093280 10126.826646 -35045.914317
0.344444 0.033083 0.011111 -72348.223075 1251.892942 14667.047470 -112830.010500 9457.832156 -29726.120475
0.366667 0.033083 0.011111 -75022.236722 10061.292649 -17455.583604 -135142.141690 -14720.936115 -10303.830346
0.388889 0.033083 0.011111 -65186.479808 -370.973009 -2796.021991 -124168.842400 -1446.841822 -37604.616321
0.011111 0.055139 0.011111 -34007.675803 -3801.443470 29749.231471 -144086.419690 20022.452881 -47105.913350
0.033333 0.055139 0.011111 -92178.182598 9136.018530 4683.541158 -94561.732567 17.995691 -30081.277636
0.055556 0.055139 0.011111 -87625.070877 -466.727483 -2083.922298 -173706.152720 -49537.930399 -37466.004986
0.077778 0.055139 0.011111 -76654.546920 1786.791760 -15103.381298 -148221.803290 17178.367027 -39141.307841
0.100000 0.055139 0.011111 -42551.838068 -5886.832736 -5545.728950 -149446.624980 37062.653287 -54127.939255
0.122222 0.055139 0.011111 -72073.261767 17624.021099 28045.419458 -137774.567560 23792.127622 -49129.902397
0.144444 0.055139 0.011111 -99552.174607 102.738887 -35157.018446 -130726.107850 -18754.391317 -55106.254195
0.166667 0.055139 0.011111 -62011.513826 17416.247543 -15365.709594 -104364.688380 7178.804797 -35767.205788
0.188889 0.055139 0.011111 -88841.341424 -14137.334330 14238.544493 -141939.814660 30907.756741 -47999.841554
0.211111 0.055139 0.011111 -93720.434265 16982.220002 5158.665755 -106814.889350 -18593.982011 -44753.061314
0.233333 0.055139 0.011111 -60829.891232 -5503.067742 7940.836567 -109349.190460 21851.244232 -56744.871793
0.255556 0.055139 0.011111 -83233.976915 -5255.360834 9253.717260 -141256.555840 -30348.409742 -35008.498869
0.277778 0.055139 0.011111 -112268.558050 17585.131655 -1428.402975 -188891.990080 -10848.775715 -94537.467207
0.300000 0.055139 0.011111 -64950.412031 -3435.117422 17898.259063 -94425.383380 16930.010093 -11553.247981
0.322222 0.055139 0.011111 -93008.097376 -1803.335831 -17274.630333 -109160.584230 -1172.768131 -27088.998889
0.344444 0.055139 0.011111 -72207.301193 -6837.706320 5044.178979 -102805.370260 19857.351244 -50568.545811
0.366667 0.055139 0.011111 -78007.152961 8656.907963 40843.944458 -181744.144550 25240.295546 -50857.240659
0.388889 0.055139 0.011111 -50017.938011 -2232.052758 -20112.729068 -126060.656480 -23826.206585 -48934.859951
0.011111 0.077194 0.011111 -46250.576064 8355.829515 -21669.882874 -140170.572690 19051.633670 -30815.591719
0.033333 0.077194 0.011111 -93933.907277 -6219.575933 -1476.152496 -87666.650761 -10024.274705 -36053.226586
0.055556 0.077194 0.011111 -83293.560501 -12878.252281 13442.454200 -213327.605740 -7440.457690 -59027.708710
0.077778 0.077194 0.011111 -69127.502869 -11711.726297 -2933.375591 -136602.612110 -1909.227398 -30898.488508
0.100000 0.077194 0.011111 -90019.668538 6892.074316 -38.777344 -151490.649790 -14869.568692 -53064.266479
0.122222 0.077194 0.011111 -108797.474550 12998.542837 6296.345180 -138889.478840 34002.946244 -41619.224582
0.144444 0.077194 0.011111 -111088.927610 -3664.518886 -5232.303904 -138777.156260 -30119.730823 -71890.617417
0.166667 0.077194 0.011111 -96858.628964 -7723.543071 15262.371963 -109062.927680 -682.078606 -26877.067874
0.188889 0.077194 0.011111 -81138.728198 -8779.725760 -24532.650261 -126931.379480 24893.085864 -36221.263488
0.211111 0.077194 0.011111 -65980.604685 5873.492780 -21394.782707 -113531.010640 19515.672140 -53730.614908
0.233333 0.077194 0.011111 -83808.416199 2444.431828 28465.158254 -132294.922710 17559.854641 -66516.820679
0.255556 0.077194 0.011111 -67921.229116 12148.296455 9230.997815 -136349.100470 4054.424511 -24703.999693
0.277778 0.077194 0.011111 -65153.933234 -21668.895710 11260.945813 -201086.486820 27862.915028 -54107.318478
0.300000 0.077194 0.011111 -62089.238628 21293.422909 -17954.752367 -90453.254658 14188.900383 -27493.588712
0.322222 0.077194 0.011111 -100415.156390 -413.054570 -8686.417771 -102533.353100 -15501.577187 -37620.092093
0.344444 0.077194 0.011111 -144101.648160 13192.770514 1896.109431 -159070.672830 47309.041496 -61923.003872
0.366667 0.077194 0.011111 -91344.672408 -590.437011 21331.135269 -185062.392970 8695.908153 -50651.102888
0.388889 0.077194 0.011111 -24185.988252 8526.314816 -3106.601996 -132254.902020 -8945.596185 -17383.356281
0.011111 0.099250 0.011111 -24339.249140 -8088.738109 14572.530260 -145499.309960 2188.231158 -51682.832802
0.033333 0.099250 0.011111 -71779.879449 5029.417357 2480.389621 -112542.905200 -20928.157386 -40825.631226
0.055556 0.099250 0.011111 -87652.365831 31308.666395 1497.063101 -175472.290480 -11812.907337 -29867.805431
0.077778 0.099250 0.011111 -91945.095878 17545.380238 -336.757616 -180298.566220 3723.679817 -23566.085557
0.100000 0.099250 0.011111 -103535.177170 26365.145366 19425.449723 -122181.343510 -40521.842273 -76117.588034
0.122222 0.099250 0.011111 -73136.995016 -8091.894145 34468.730888 -124569.138040 760.259715 -41438.075694
0.144444 0.099250 0.011111 -102015.006740 -6493.585297 35756.587623 -183551.783570 1144.758554 -38082.965401
0.166667 0.099250 0.011111 -65517.292335 -26724.811191 27234.297844 -117652.776460 -5245.707269 -54518.616072
0.188889 0.099250 0.011111 -67587.980878 -15182.536318 14629.576502 -108354.211670 402.294146 -48776.685172
0.211111 0.099250 0.011111 -76064.777588 18841.183940 -3083.522410 -151674.710420 27118.514830 -31169.756720
0.233333 0.099250 0.011111 -53062.201547 -14905.633694 -11260.548286 -111918.500550 1392.928102 -38343.987933
0.255556 0.099250 0.011111 -92997.139871 16273.268364 7428.917313 -141147.237750 -381.409741 -24584.333039
