# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -10082.328690 715.098393 -23.198400 -9954.727266 -2345.115767 -6336.567230
0.033333 0.011028 0.011111 -18614.252220 -2412.404558 -3267.528436 -9216.560992 -3673.919149 -8328.656880
0.055556 0.011028 0.011111 -18281.261110 -1554.098894 -2837.737003 -19704.009834 3596.387897 -9084.238847
0.077778 0.011028 0.011111 -19212.855738 1905.621416 6356.680104 -10508.065269 -211.215024 -6632.823630
0.100000 0.011028 0.011111 -20149.067132 -32.194959 -1395.500160 -12557.882949 -2618.326901 -10640.132926
0.122222 0.011028 0.011111 -13402.383299 -307.333002 -1950.166338 -11956.466973 465.684485 -8342.204259
0.144444 0.011028 0.011111 -21207.339972 946.301998 731.361248 -13264.670175 -3874.958900 -11469.894225
0.166667 0.011028 0.011111 -22873.601059 -1025.339823 -251.550520 -13017.803750 -1809.202850 -6891.259108
0.188889 0.011028 0.011111 -19047.481192 -513.337967 2578.152516 -18442.497487 -3910.201165 -10093.220346
0.211111 0.011028 0.011111 -17479.564378 -2251.770234 1913.067908 -11086.945098 -832.248366 -6118.129005
0.233333 0.011028 0.011111 -22452.093949 3773.302360 4303.781854 -18591.556595 -2370.903627 -9579.508562
0.255556 0.011028 0.011111 -18072.558259 1675.669265 2745.548682 -9687.027873 1643.550215 -7015.149505
0.277778 0.011028 0.011111 -18483.645501 -3802.416430 867.966122 -13121.297380 -3131.468047 -5254.992240
0.300000 0.011028 0.011111 -19503.896925 -3217.588214 236.686696 -14552.323243 2181.486231 -10061.608277
0.322222 0.011028 0.011111 -22481.198959 -1702.264326 -4110.302375 -8260.448038 1433.677928 -4839.276464
0.344444 0.011028 0.011111 -19064.353387 -2149.831033 -2249.897386 -10729.907398 -5395.355967 -12152.109256
0.366667 0.011028 0.011111 -15090.985710 -697.078577 760.557964 -7026.606330 2813.985145 -4242.994607
0.388889 0.011028 0.011111 -4403.132471 -3474.356619 -3977.370556 -11091.863428 -346.285766 -9591.830844
0.011111 0.033083 0.011111 -10315.010399 -818.779509 519.337314 -19227.946795 162.253195 -7956.847855
0.033333 0.033083 0.011111 -14588.611621 -97.924985 -1454.647263 -21817.905620 -268.573564 -13005.311838
0.055556 0.033083 0.011111 -14501.706960 -1478.865066 1996.399521 -26096.285790 7949.773931 -9716.699305
0.077778 0.033083 0.011111 -13928.845979 -1539.374045 -2821.196507 -32344.837432 -3109.136758 -13048.772812
0.100000 0.033083 0.011111 -12645.244192 1776.983220 -68.240830 -25110.803727 1969.437829 -10001.667507
0.122222 0.033083 0.011111 -15912.965498 1777.081585 -3126.425613 -29104.303072 -2351.453218 -6510.141776
0.144444 0.033083 0.011111 -11085.127365 4635.326568 -4618.815553 -16183.454068 -766.338022 -8971.274896
0.166667 0.033083 0.011111 -15782.870724 1006.694142 -317.871282 -32111.809698 -3917.629820 -8657.700772
0.188889 0.033083 0.011111 -17423.562852 -4007.738360 3121.851176 -31275.031737 498.768655 -7861.504044
0.211111 0.033083 0.011111 -14858.462761 3069.366528 -669.990295 -23365.804563 -1898.751747 -6440.230629
0.233333 0.033083 0.011111 -12857.856480 -1738.187473 -1802.634594 -24590.689869 -2132.978114 -8159.737794
0.255556 0.033083 0.011111 -19458.682970 -4115.734937 -696.836557 -29436.653845 226.467325 -11537.932605
0.277778 0.033083 0.011111 -17813.394587 1930.449954 1040.448240 -23762.806282 -1287.079673 -9500.867780
