# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -25402.890040 -4322.903595 4326.201504 -27378.828367 -8651.927384 -36166.101966
0.033333 0.011028 0.011111 -61889.777393 -11068.350654 -13707.404016 -41844.519236 -6087.069291 -36380.788321
0.055556 0.011028 0.011111 -49987.216670 23941.218377 2852.518482 -40944.205394 -18629.241589 -32123.225455
0.077778 0.011028 0.011111 -62797.927165 -588.028766 -5237.603267 -41504.663929 -7540.662437 -35071.398832
0.100000 0.011028 0.011111 -54683.260426 -730.441109 -13403.924583 -33304.154670 -20096.008941 -27187.513127
0.122222 0.011028 0.011111 -47046.151658 1527.006092 -1932.606640 -26295.341173 -4650.282460 -39888.639609
0.144444 0.011028 0.011111 -71021.203219 -5128.690569 2075.788905 -24750.291934 -843.365571 -40435.722029
0.166667 0.011028 0.011111 -93522.920659 -15228.624095 -12277.884318 -21006.953888 -6546.999647 -41908.588429
0.188889 0.011028 0.011111 -94797.373815 -4209.125955 7814.196136 -46588.795241 -19848.280252 -30188.434962
0.211111 0.011028 0.011111 -69232.866598 -4693.878099 3563.945861 -39197.038351 -9541.761081 -15146.986529
0.233333 0.011028 0.011111 -62807.679343 11026.431166 27015.123199 -47144.176504 261.278379 -42035.799907
0.255556 0.011028 0.011111 -50461.849678 7301.003226 2017.964140 -22653.783790 4725.937391 -46038.539542
0.277778 0.011028 0.011111 -71288.358432 3594.217796 10874.440778 -32122.815529 1324.659593 -36208.625585
0.300000 0.011028 0.011111 -74047.228671 2412.163468 -3817.667517 -33016.872259 3032.450951 -34834.986175
0.322222 0.011028 0.011111 -79949.585126 -3466.694793 12587.375364 -32099.383573 -43384.513424 -33797.774080
0.344444 0.011028 0.011111 -87697.301505 -8902.876470 -4414.647084 -20575.885733 -12264.127192 -60376.867331
0.366667 0.011028 0.011111 -60849.715763 272.922272 3743.486070 -39432.573810 4764.991391 -23505.227224
0.388889 0.011028 0.011111 -19439.967932 -478.940423 10336.855428 -38468.455927 -13735.593772 -34433.128472
0.011111 0.033083 0.011111 -59910.884951 -14205.138005 -1152.347432 -64988.560259 -5956.725273 -61884.514166
0.033333 0.033083 0.011111 -82973.817813 15462.728673 -16759.273706 -56772.367826 -118.727253 -19356.004952
0.055556 0.033083 0.011111 -67203.737923 -17679.586879 -4838.791664 -66858.368298 17924.291011 -55349.642693
0.077778 0.033083 0.011111 -61623.934015 -1286.473420 -14670.080643 -76988.162719 -7584.333974 -58199.041394
0.100000 0.033083 0.011111 -76981.435452 -8633.498516 1707.380838 -89533.267900 1358.083749 -79477.657221
0.122222 0.033083 0.011111 -90294.171239 2914.006552 601.437775 -63861.686327 -11294.843411 -40352.085058
0.144444 0.033083 0.011111 -56852.923607 -8541.229647 3463.063678 -48647.337209 517.798555 -38629.290246
0.166667 0.033083 0.011111 -54284.232759 6810.926768 12235.085718 -64801.835048 11516.599394 -59654.114656
0.188889 0.033083 0.011111 -82227.743581 5249.891947 14339.316429 -91912.905830 -12152.284501 -57891.621790
0.211111 0.033083 0.011111 -129028.396160 -4973.918154 -4911.068688 -67564.361335 -15074.434134 -44367.953361
0.233333 0.033083 0.011111 -159729.865420 -25703.020822 -20076.027672 -93931.852880 17920.475256 -79290.962530
0.255556 0.033083 0.011111 -121178.747750 -11809.927269 -29255.616737 -84836.523843 21227.282741 -69110.569940
0.277778 0.033083 0.011111 -87040.368923 9933.789978 931.160511 -31308.496088 14163.148848 -20020.509929
0.300000 0.033083 0.011111 -137633.238030 -19065.581408 4198.301984 -94856.276836 174.886186 -67607.679673
0.322222 0.033083 0.011111 -108688.349830 4698.404488 -2292.466638 -57165.205879 -23444.068238 -49307.500323
0.344444 0.033083 0.011111 -72741.775223 13203.707706 -1743.951276 -53069.707689 1992.083372 -54126.802212
0.366667 0.033083 0.011111 -85565.621613 12982.712546 -14540.930093 -66182.491728 7738.699038 -44735.959623
0.388889 0.033083 0.011111 -57592.668761 3572.477865 10526.095950 -90606.858444 7762.329034 -73286.305507
0.011111 0.055139 0.011111 -28524.749640 -542.555940 7818.954844 -77363.936528 1794.376369 -57456.017302
0.033333 0.055139 0.011111 -70805.981932 10817.117570 8393.774794 -57991.129602 44820.580372 -48190.990261
0.055556 0.055139 0.011111 -67605.374684 -2914.747748 -3043.897860 -75203.550736 -1364.016865 -53947.267273
0.077778 0.055139 0.011111 -94812.908350 255.442121 4412.234795 -83788.486225 -4740.539683 -38833.762991
0.100000 0.055139 0.011111 -71830.193580 -4491.756257 -15621.052004 -74390.877451 -16792.611080 -60182.418125
0.122222 0.055139 0.011111 -62908.338621 8128.974399 -6033.711726 -44930.102435 -18610.950709 -16923.949947
0.144444 0.055139 0.011111 -109659.321270 16551.140519 -16577.704604 -79206.240501 19860.907360 -51067.795415
0.166667 0.055139 0.011111 -89787.213952 20129.733393 -3972.945982 -49794.257648 6455.395078 -58763.696837
0.188889 0.055139 0.011111 -95733.434000 9992.909005 22509.166652 -74533.354000 -12757.947469 -69935.331993
0.211111 0.055139 0.011111 -76636.605572 6185.317108 -4391.495409 -49453.801998 -16767.279548 -41696.591701
0.233333 0.055139 0.011111 -63006.703908 -7196.752484 17173.696022 -91249.713631 13279.866338 -61442.738774
0.255556 0.055139 0.011111 -95878.780307 -32451.421809 6856.691922 -71590.129801 -1740.430594 -47666.681939
0.277778 0.055139 0.011111 -105596.773970 -28459.840822 13919.235692 -113554.582010 11931.272810 -50713.936522
0.300000 0.055139 0.011111 -78978.094204 7277.551559 25498.593517 -58713.265002 -14071.406682 -40439.992005
0.322222 0.055139 0.011111 -113008.576570 -514.315851 1562.014508 -63327.825363 -1492.258139 -45758.330577
0.344444 0.055139 0.011111 -78957.780828 13681.354313 -5663.871618 -42825.463672 -5842.541812 -51400.373059
0.366667 0.055139 0.011111 -101590.965100 -2769.646726 24760.975489 -62647.334508 1763.441113 -55370.602341
0.388889 0.055139 0.011111 -67039.666233 852.203255 -4934.855211 -80262.939328 2223.790653 -43736.426728
0.011111 0.077194 0.011111 -57162.856544 6901.394397 -9521.022487 -58268.433431 -1744.921030 -33538.912207
0.033333 0.077194 0.011111 -92541.198394 -5330.506014 11965.077517 -93185.879729 14370.308911 -49136.643854
0.055556 0.077194 0.011111 -102879.419450 9619.978481 23353.078351 -106387.979930 -8574.856338 -52505.832421
0.077778 0.077194 0.011111 -81197.260854 13919.126842 -9109.100640 -81870.941074 4329.997791 -44067.608376
0.100000 0.077194 0.011111 -71514.250558 5248.663898 23957.904736 -61833.015808 -37501.757145 -20905.802251
0.122222 0.077194 0.011111 -117427.572640 21290.942067 28574.284957 -100560.233110 3837.263701 -82411.377594
0.144444 0.077194 0.011111 -111434.877930 20435.673272 12825.240459 -41424.750204 -12391.952363 -65790.826545
0.166667 0.077194 0.011111 -127096.800920 1693.287243 7785.106107 -72586.350457 17673.836504 -25767.281938
0.188889 0.077194 0.011111 -87771.598681 6017.553788 -18747.634549 -73663.460921 -4548.793039 -30939.797330
0.211111 0.077194 0.011111 -66588.808610 22346.715849 -26942.353347 -69467.784997 1836.610287 -55104.330149
0.233333 0.077194 0.011111 -42729.525605 -7948.889166 8461.537738 -58803.290149 -4789.456330 -54541.479944
0.255556 0.077194 0.011111 -83929.122189 -23872.935301 9872.267116 -76313.866219 -3258.339170 -44303.093512
0.277778 0.077194 0.011111 -80375.224234 -16599.030376 15495.591726 -92836.641084 -7493.753507 -58475.415058
0.300000 0.077194 0.011111 -84894.641270 7863.207762 -19199.242113 -66824.221859 -17849.912386 -43499.440724
0.322222 0.077194 0.011111 -98378.100566 13872.236355 4841.049622 -63623.994334 -10516.033963 -56031.053400
0.344444 0.077194 0.011111 -127976.083040 34300.566353 22098.586519 -71126.438228 1593.577072 -47512.087033
0.366667 0.077194 0.011111 -97333.911229 34491.793461 23985.125131 -49875.576055 24658.438288 -46817.230290
0.388889 0.077194 0.011111 -56432.182146 3551.288325 10418.854603 -87731.193311 -7894.842189 -52816.751070
0.011111 0.099250 0.011111 -39375.982026 4276.916703 1653.576312 -78269.891578 4768.315593 -68132.272458
0.033333 0.099250 0.011111 -101927.785500 16462.516654 1170.163616 -77497.115647 -6016.674762 -54217.149370
0.055556 0.099250 0.011111 -105024.724280 -4468.226461 -6825.503652 -89721.227262 -7647.634119 -24069.651388
0.077778 0.099250 0.011111 -93796.491973 1847.591787 -12071.191151 -77159.605538 9233.202238 -34156.484553
0.100000 0.099250 0.011111 -109818.862850 19781.024671 -26131.347359 -65519.101859 -34744.327110 -85091.847012
0.122222 0.099250 0.011111 -66247.395294 33.283360 16608.448223 -88659.518506 5479.725703 -43788.173771
0.144444 0.099250 0.011111 -96080.392958 -7550.940096 35077.777733 -41293.656097 -2288.914902 -67549.886468
0.166667 0.099250 0.011111 -91053.975628 -20738.212650 -24829.879729 -68215.245841 3856.464688 -41657.392012
0.188889 0.099250 0.011111 -87387.068489 -24386.523651 -18782.833821 -89665.947646 -5951.812150 -80834.222540
0.211111 0.099250 0.011111 -99081.869598 3058.602349 5728.226800 -68009.538078 280.780399 -49782.897791
0.233333 0.099250 0.011111 -87519.037852 -3383.377132 5288.472735 -74213.386921 -4268.218408 -85452.129898
0.255556 0.099250 0.011111 -87341.693085 758.551456 -19317.473270 -62812.563585 5868.871583 -14988.250607
0.277778 0.099250 0.011111 -122886.299400 -31551.830183 -15395.659418 -95150.767151 -11224.412987 -84513.469688
0.300000 0.099250 0.011111 -134902.553390 -10504.586139 11240.427151 -77870.421452 -3266.306181 -46691.777952
0.322222 0.099250 0.011111 -116824.351040 24195.237900 2919.982730 -41979.486114 -1752.809794 -45266.211394
0.344444 0.099250 0.011111 -90750.418339 2551.317919 25469.528600 -78602.227782 12063.155541 -36156.544860
0.366667 0.099250 0.011111 -109854.619190 -11217.065152 13577.591777 -79251.589544 4201.924893 -55616.879614
0.388889 0.099250 0.011111 -39404.045251 -14677.941175 -5468.305369 -66222.304983 17726.409349 -41446.940965
0.011111 0.121306 0.011111 -44193.722633 8678.795415 -6300.561707 -81360.720878 -970.370204 -44034.126496
0.033333 0.121306 0.011111 -69906.326471 -135.697676 -1291.826536 -55720.987529 -8146.899593 -52329.881235
0.055556 0.121306 0.011111 -124839.880330 -11406.150605 6484.977839 -90165.471418 3193.091889 -69710.144897
0.077778 0.121306 0.011111 -98212.586394 -1346.871339 9538.468728 -60219.845421 3594.277485 -33291.301460
