# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -85946.127959 3105.755336 20853.925077 -186927.256250 -19815.411585 -63693.712389
0.033333 0.011028 0.011111 -130020.232530 -37425.672342 -31108.520010 -188940.861400 -62523.202365 -64849.439907
0.055556 0.011028 0.011111 -82924.874544 23543.209567 -27135.414419 -204573.759210 -25183.202792 -45565.136730
0.077778 0.011028 0.011111 -106253.428660 -608.394068 20339.155831 -160191.143040 -38656.247667 -54418.431366
0.100000 0.011028 0.011111 -137908.155370 9470.439833 -30506.361743 -139206.710760 -66659.779562 -40591.950655
0.122222 0.011028 0.011111 -106369.695330 -16013.984559 -6709.140364 -148409.753830 -6908.164671 -76148.595889
0.144444 0.011028 0.011111 -137791.232930 -24381.160737 46637.107159 -176084.847030 -29021.752712 -53474.996038
0.166667 0.011028 0.011111 -93783.678391 -6905.767677 18769.958232 -156785.472910 -45637.461606 -73506.066325
0.188889 0.011028 0.011111 -110892.814160 -21629.553759 19686.668635 -151700.259930 -37635.871255 -46823.939138
0.211111 0.011028 0.011111 -115019.955660 -24363.271394 -21163.431972 -176052.428730 -58564.873102 -10164.864765
0.233333 0.011028 0.011111 -79844.562158 9780.066436 2448.921441 -177142.245750 -12521.125855 -99306.833074
0.255556 0.011028 0.011111 -137742.986100 22014.994865 448.808163 -130686.964550 14210.442743 -87046.936438
0.277778 0.011028 0.011111 -120883.788960 -38003.846652 4570.050594 -187331.270210 -25257.881527 -27898.980458
0.300000 0.011028 0.011111 -96046.495026 -42825.261762 -5411.976983 -149308.018750 -69041.649618 -87489.448573
0.322222 0.011028 0.011111 -145596.080660 -33895.358181 -47113.370006 -159238.346000 -75959.482606 -48346.355734
0.344444 0.011028 0.011111 -98582.687570 23084.181114 -1360.567519 -156716.914900 -14593.017021 -68324.049341
0.366667 0.011028 0.011111 -123733.325120 13020.181290 -12999.942866 -152779.462210 -31117.835303 -41644.007341
0.388889 0.011028 0.011111 -35688.037773 -21440.473056 -21867.464241 -146986.252990 -14424.049669 -90784.332421
0.011111 0.033083 0.011111 -47363.370805 27695.948083 -9202.737938 -305185.072910 -29268.471172 -148779.545610
0.033333 0.033083 0.011111 -252116.434900 22022.482921 -19039.089387 -332585.484550 -26466.231414 -93450.047267
0.055556 0.033083 0.011111 -280895.833720 -20060.624647 -28337.414755 -391112.932490 -52547.306277 -141966.096050
0.077778 0.033083 0.011111 -232154.321560 35579.640463 -14873.906119 -344317.841060 -28162.797362 -117507.808530
0.100000 0.033083 0.011111 -225942.380050 -8408.075083 10695.792556 -248193.780650 7643.768775 -123141.975950
0.122222 0.033083 0.011111 -218458.882680 4382.068258 -53342.457794 -302853.233810 5947.674893 -41030.563072
0.144444 0.033083 0.011111 -192481.423400 14815.907769 -12058.644761 -287862.564410 -12024.920706 -82450.905658
0.166667 0.033083 0.011111 -191137.592130 -8389.862180 68390.297040 -335150.950340 -45060.753346 -63137.778634
0.188889 0.033083 0.011111 -195348.734550 2867.844677 58324.071661 -321237.806080 -20312.566176 -115728.051810
0.211111 0.033083 0.011111 -265164.954960 72478.222655 31853.569065 -388454.433790 -48649.817634 -117807.015700
0.233333 0.033083 0.011111 -291585.820180 4328.722083 -5757.589122 -328329.914690 61010.410814 -74433.556557
0.255556 0.033083 0.011111 -191486.290200 -1256.123102 -29881.697365 -363735.842050 43299.939410 -126121.611560
0.277778 0.033083 0.011111 -180188.184720 -18189.451106 -11009.534968 -254010.545470 2390.017815 -74138.071598
0.300000 0.033083 0.011111 -273805.274160 -21468.625471 -38852.415674 -371200.341280 39740.646476 -94277.029758
0.322222 0.033083 0.011111 -234776.182810 -20545.492058 -9537.309941 -314043.120420 -49218.522823 -114663.939510
0.344444 0.033083 0.011111 -204247.457060 -18765.835341 9863.309913 -257373.209830 1710.912654 -129046.627320
0.366667 0.033083 0.011111 -180587.945780 -33134.418915 774.509403 -313828.694910 11222.138622 -18387.599133
0.388889 0.033083 0.011111 -137816.159380 26492.952717 -35028.251950 -309384.205070 -6270.213414 -134669.661980
0.011111 0.055139 0.011111 -139211.467970 11513.870224 794.141864 -336208.699410 50779.071382 -106790.863140
