# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -68941.841617 -1472.301518 17547.525223 -206638.244690 -57059.916772 -92411.173772
0.033333 0.011028 0.011111 -104536.401120 10567.603845 13310.978563 -176827.354360 -84585.132875 -58676.714259
0.055556 0.011028 0.011111 -107351.704540 20883.897974 -24933.978224 -236759.146610 -7180.997507 -35495.240175
0.077778 0.011028 0.011111 -142056.802210 1261.570243 23220.343960 -163865.220910 -10502.079792 -46190.704166
0.100000 0.011028 0.011111 -143905.716450 5555.954142 -8529.365282 -153730.186390 -90741.141579 -13266.997905
0.122222 0.011028 0.011111 -107105.312810 -36690.901510 -6600.575198 -168418.264060 -16698.416885 -82941.070587
0.144444 0.011028 0.011111 -130493.232300 -30887.669586 -4991.510035 -186883.868130 -81955.347498 -70523.503403
0.166667 0.011028 0.011111 -86270.738249 -9470.469039 -7416.496564 -177762.349890 -46371.887298 -46887.571696
0.188889 0.011028 0.011111 -90015.453016 -9779.115661 21799.164595 -174859.775360 -66534.749541 -40076.354885
0.211111 0.011028 0.011111 -95014.092091 -5203.751015 14388.437330 -183827.012700 -21402.540106 -59138.155209
0.233333 0.011028 0.011111 -99791.503797 18410.409157 6040.043662 -173686.887760 3679.958727 -75969.152703
0.255556 0.011028 0.011111 -119246.367410 19814.420054 -26750.119143 -165525.447360 17496.138323 -70107.470107
0.277778 0.011028 0.011111 -112292.666920 -40471.062708 -10033.044746 -181940.445620 -3594.787550 -38093.261190
0.300000 0.011028 0.011111 -75805.830573 -46059.137724 4361.611047 -168823.256300 -66462.827600 -88612.665471
0.322222 0.011028 0.011111 -134056.941880 -55333.604455 -40018.978518 -184786.199250 -66579.894372 -38037.559731
0.344444 0.011028 0.011111 -136097.499640 10345.152990 3647.140678 -179155.025160 -54265.166651 -71265.107004
0.366667 0.011028 0.011111 -97787.994798 7338.713037 -3243.423823 -176473.931730 -22148.721403 -33199.486175
0.388889 0.011028 0.011111 -53033.653893 -36768.643351 -21468.455420 -149904.584000 -37493.252053 -73088.402153
0.011111 0.033083 0.011111 -44697.501158 16616.666251 16862.062480 -372357.414310 -49117.350051 -141684.689890
0.033333 0.033083 0.011111 -191209.478100 1909.523847 -6543.607954 -299652.574320 -19255.509912 -95236.041794
0.055556 0.033083 0.011111 -256478.569750 -9369.884533 -39037.739796 -412870.491350 -26011.991979 -141526.830980
0.077778 0.033083 0.011111 -233843.019830 49033.299314 -50549.626327 -355658.921510 -10882.541539 -91840.510499
0.100000 0.033083 0.011111 -230768.255690 -21750.440848 20761.812717 -275277.589260 12805.062736 -128224.486490
0.122222 0.033083 0.011111 -210686.932940 613.427872 -28011.216777 -313391.399970 31574.078799 -29276.059501
0.144444 0.033083 0.011111 -196257.984580 29207.257474 43807.666974 -305016.596380 8139.884722 -101205.565280
