# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -47999.784570 -7475.575739 9663.485590 -51605.004862 -16703.499897 -51354.954219
0.033333 0.011028 0.011111 -83645.848611 -4900.124924 -10694.988637 -68839.143291 -19414.525141 -48845.237056
0.055556 0.011028 0.011111 -72738.995924 34819.840628 3931.039074 -73402.081213 -18689.099760 -40271.671129
0.077778 0.011028 0.011111 -81750.425615 11294.834290 -8718.006930 -61968.858469 -21748.231681 -42170.102866
0.100000 0.011028 0.011111 -87587.467143 2818.820965 -9215.822850 -50659.134658 -38833.882706 -41440.346908
0.122222 0.011028 0.011111 -85616.030093 -2616.208853 12652.312559 -41069.015334 -10511.080453 -46546.284852
0.144444 0.011028 0.011111 -105396.730120 -9330.479466 433.422231 -62983.536081 -14775.607045 -57649.902626
0.166667 0.011028 0.011111 -103852.614580 -29110.106586 -21576.049793 -52183.972938 -5990.286967 -57912.436708
0.188889 0.011028 0.011111 -108782.763920 -18560.952649 14015.322526 -73703.328800 -6711.512717 -20646.926494
0.211111 0.011028 0.011111 -78177.214927 -3657.006640 7222.157507 -64163.944587 -12212.967429 -26005.509861
0.233333 0.011028 0.011111 -55717.639462 30330.853397 22138.773144 -76837.504804 -16741.607694 -56890.232245
0.255556 0.011028 0.011111 -84698.347526 30672.191333 3323.989462 -44486.447086 -7471.421720 -71091.749603
0.277778 0.011028 0.011111 -103789.395660 -15127.235841 7785.792932 -62251.746003 -33744.632716 -47366.184918
0.300000 0.011028 0.011111 -86164.905736 -3839.957161 6667.922111 -46837.811553 -7025.111782 -41266.287873
0.322222 0.011028 0.011111 -64406.278483 1637.624906 16317.715810 -35860.461117 -64514.099732 -24332.707603
0.344444 0.011028 0.011111 -89225.961826 13833.375934 -3443.665060 -72110.978995 -22903.249079 -72853.902710
0.366667 0.011028 0.011111 -72552.307966 12382.122019 17882.241634 -64580.534268 -18525.300913 -30728.082537
0.388889 0.011028 0.011111 -45644.825012 -9977.056840 13288.323490 -74451.858013 -21178.642578 -51074.698964
0.011111 0.033083 0.011111 -69649.296114 -6245.298247 902.746720 -103997.814310 -10431.278081 -89722.410153
0.033333 0.033083 0.011111 -123033.244600 9552.730645 -13571.576431 -94599.679890 -13489.030291 -36870.048543
