# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -63593.705067 -10757.532835 10683.214678 -89741.657573 -26174.530893 -69784.889149
0.033333 0.011028 0.011111 -103854.828290 -23888.349912 4903.383207 -110031.931310 -23895.915455 -47648.278655
0.055556 0.011028 0.011111 -86505.298493 25670.844977 7102.704144 -104481.654890 -16542.647797 -44809.005206
0.077778 0.011028 0.011111 -112795.014960 17326.795994 -808.990909 -96773.523626 -11219.867982 -45489.264742
0.100000 0.011028 0.011111 -108715.318530 14687.328313 -13113.996806 -84988.667695 -64051.093261 -47828.162283
0.122222 0.011028 0.011111 -98792.982597 -2315.882257 3454.780839 -75872.445617 -16445.982871 -57371.234886
0.144444 0.011028 0.011111 -108719.043830 -1564.184980 13597.900093 -109599.660090 -17554.194126 -54305.925742
0.166667 0.011028 0.011111 -109084.250820 -19484.278250 18711.643521 -94758.376202 -20285.066308 -66709.449819
0.188889 0.011028 0.011111 -109058.493720 -2407.029835 38064.167982 -100081.582890 -13414.581139 -21567.485442
0.211111 0.011028 0.011111 -97026.867268 -5106.350625 -2977.036835 -97891.869844 -36840.249871 -31004.883760
0.233333 0.011028 0.011111 -65760.684635 24520.933371 9439.191177 -116506.547000 -16398.511782 -83653.749755
0.255556 0.011028 0.011111 -98430.575207 25169.494090 -24376.717374 -61401.442580 -6955.988827 -61866.900560
0.277778 0.011028 0.011111 -104431.942150 -26790.690322 344.938549 -99644.874741 -28413.931397 -35913.794105
0.300000 0.011028 0.011111 -88748.577252 -18301.331235 16615.713624 -70608.348843 -18183.551520 -41034.186909
0.322222 0.011028 0.011111 -78217.048978 -23056.352566 -3127.603081 -98711.004201 -71677.327265 -30292.750310
0.344444 0.011028 0.011111 -99414.594287 12470.117226 -2628.015930 -82864.359209 -15218.851389 -51875.338247
0.366667 0.011028 0.011111 -91041.860913 5962.793377 19854.901168 -101550.901150 -38288.503637 -23034.385522
0.388889 0.011028 0.011111 -31221.271922 -17172.003738 -13143.408258 -90179.772734 -11431.493366 -61207.544748
0.011111 0.033083 0.011111 -51777.445624 9163.369518 -4064.868481 -141794.917210 -11993.645766 -107112.802490
0.033333 0.033083 0.011111 -155538.077090 32484.280611 2708.016619 -145999.942310 -10170.165207 -57930.527963
0.055556 0.033083 0.011111 -152278.753610 6793.276365 -17750.648592 -206449.667750 11384.826719 -91204.448078
0.077778 0.033083 0.011111 -103924.653160 -3512.538435 -33893.985216 -175273.833050 -15504.766161 -112100.929750
0.100000 0.033083 0.011111 -126511.619360 -45003.111863 12596.745217 -179858.587730 -3160.355131 -95203.867121
0.122222 0.033083 0.011111 -141072.777800 6016.365236 -24606.512349 -136868.177820 -26754.734035 -53996.524226
0.144444 0.033083 0.011111 -142198.665470 -3743.196529 12452.512342 -170614.916970 -9791.857388 -63781.188598
0.166667 0.033083 0.011111 -148256.872580 14855.859797 6006.708534 -204761.373610 -15830.563874 -79353.023511
0.188889 0.033083 0.011111 -172697.196830 -13130.656974 -1022.375379 -178423.711820 19896.639258 -93189.848896
0.211111 0.033083 0.011111 -214828.712500 8286.846512 31995.322399 -213148.476140 -50543.735773 -81056.231941
0.233333 0.033083 0.011111 -251931.947530 -6902.177236 -24100.858334 -204675.882160 23084.648926 -97945.053264
0.255556 0.033083 0.011111 -178165.855890 14847.819712 -9987.002539 -159844.959240 8018.006647 -69612.020124
0.277778 0.033083 0.011111 -148765.422990 -3724.835627 -6949.633631 -157388.419830 9459.261476 -55515.098349
0.300000 0.033083 0.011111 -189342.080730 -3665.506004 -30968.833264 -221447.244300 -15862.080351 -87359.660677
0.322222 0.033083 0.011111 -195430.861630 13367.181799 -30908.749945 -144519.689510 -26334.965666 -103786.293010
0.344444 0.033083 0.011111 -140422.811530 11011.494203 9075.951023 -172712.106080 589.770490 -101495.001210
0.366667 0.033083 0.011111 -138031.758150 -650.091575 658.616822 -166587.023280 -19915.768054 -47934.431395
0.388889 0.033083 0.011111 -105365.328740 10177.402756 18978.008902 -197260.760150 9564.686764 -104295.868260
0.011111 0.055139 0.011111 -67961.120999 -1298.111361 22313.721544 -195902.822270 32726.738445 -92025.414697
0.033333 0.055139 0.011111 -119006.037670 9925.971065 15266.746783 -127181.488570 6901.146951 -39902.145705
0.055556 0.055139 0.011111 -125366.272810 -15808.597991 22998.185367 -193007.704510 -5713.311269 -68815.185362
0.077778 0.055139 0.011111 -129703.807810 6756.404781 -16103.579046 -200986.505800 2601.539965 -47482.243079
0.100000 0.055139 0.011111 -80102.378234 -9059.427769 -6969.857882 -162738.888840 15139.937208 -123445.384630
0.122222 0.055139 0.011111 -121708.350210 26257.539966 23158.905617 -168675.287730 -12017.260879 -70648.861250
0.144444 0.055139 0.011111 -191585.234990 -8092.139725 -54315.874153 -186515.422930 -13140.344241 -95289.959340
0.166667 0.055139 0.011111 -156019.941680 19176.087102 -29907.897687 -177562.882360 -39112.819114 -109128.724200
0.188889 0.055139 0.011111 -161944.718300 18283.399880 23000.329675 -182738.414620 -5969.873127 -120183.952000
0.211111 0.055139 0.011111 -140582.308170 19044.293309 -36225.264724 -146597.918500 -22492.633054 -38341.415754
0.233333 0.055139 0.011111 -131984.614350 -9430.998025 309.536467 -158663.434970 33649.383246 -101851.685440
0.255556 0.055139 0.011111 -204140.432900 -22321.166455 31284.584047 -205618.389110 10027.456701 -108697.757540
0.277778 0.055139 0.011111 -175605.892200 1526.771212 11861.026968 -231816.037100 25658.502846 -102701.530110
0.300000 0.055139 0.011111 -160914.983680 24598.359046 18177.803539 -118354.076380 -1136.691304 -63298.432120
0.322222 0.055139 0.011111 -180238.198560 12240.395419 -9270.855020 -159171.877830 -6549.702086 -81016.881617
0.344444 0.055139 0.011111 -144922.829190 -13871.569322 -10130.006542 -167545.301400 3484.989885 -100318.577610
0.366667 0.055139 0.011111 -158883.643770 -25015.190535 24677.522070 -228853.864510 13623.097586 -46783.046131
0.388889 0.055139 0.011111 -118852.494870 -1644.401384 -13303.419726 -196129.432530 -23305.013681 -80137.696795
0.011111 0.077194 0.011111 -83207.025738 17052.089373 -8757.976495 -180070.325180 10084.843086 -77915.472165
0.033333 0.077194 0.011111 -148815.398750 -8263.283091 -5823.703760 -169454.639370 -13762.420252 -74314.711417
0.055556 0.077194 0.011111 -140733.021620 23759.977037 2558.914070 -226093.189430 -11313.859505 -132074.903480
0.077778 0.077194 0.011111 -150400.122170 -11986.715676 -18997.482206 -199114.389850 -138.349852 -72429.789943
0.100000 0.077194 0.011111 -141226.358850 269.613793 30718.402625 -160387.238120 16950.377166 -53395.920823
0.122222 0.077194 0.011111 -173443.372140 35468.402283 34454.261884 -165019.026160 37423.233414 -92668.731206
0.144444 0.077194 0.011111 -147093.702010 -5023.314542 -1951.592224 -180359.743560 -34917.135704 -102356.387610
0.166667 0.077194 0.011111 -161517.768970 -5524.840209 2568.667837 -151799.707840 -7785.273441 -26377.780524
0.188889 0.077194 0.011111 -149411.368080 17325.024424 -31148.610043 -167627.392370 30443.501223 -62626.611433
0.211111 0.077194 0.011111 -132229.348690 30608.722566 -52117.544755 -212924.119790 33131.261437 -100412.044500
0.233333 0.077194 0.011111 -132830.773670 17141.145383 4567.933962 -174807.476180 -3095.953027 -127132.211950
0.255556 0.077194 0.011111 -132115.738870 -25233.412504 17801.452076 -191508.658260 -25158.163303 -48121.608294
0.277778 0.077194 0.011111 -156455.046540 -66908.712962 20911.545408 -279404.939710 -7178.283575 -60229.630855
0.300000 0.077194 0.011111 -141270.469500 15090.922034 -4894.888511 -131100.285240 -18033.924416 -35533.447478
0.322222 0.077194 0.011111 -170455.395550 15330.851013 16916.041663 -158586.974350 22045.292871 -90387.645129
0.344444 0.077194 0.011111 -189306.231110 32789.395098 31143.466933 -167210.730870 34876.056971 -51155.155973
0.366667 0.077194 0.011111 -194440.234980 46210.485316 45931.044892 -233046.205920 22937.356287 -123582.231640
0.388889 0.077194 0.011111 -70908.178091 426.810074 94.822823 -214330.107480 -17067.091934 -65107.869098
0.011111 0.099250 0.011111 -90109.148564 4138.795858 11204.239790 -176950.505360 -12641.807047 -89135.868911
0.033333 0.099250 0.011111 -217834.143750 27047.215126 21058.772085 -184782.971160 -40104.454162 -70655.612642
0.055556 0.099250 0.011111 -203109.289990 32236.992715 -17758.115187 -202180.344530 -10384.727120 -59289.400902
0.077778 0.099250 0.011111 -160333.559860 -4411.974907 -11042.815550 -184894.852540 11615.324816 -70656.721162
0.100000 0.099250 0.011111 -175581.318230 30695.183171 -16424.961816 -194889.389030 -19320.344807 -102580.480690
0.122222 0.099250 0.011111 -149462.294830 -20599.025622 19319.571676 -163638.649130 26289.212961 -106840.380000
0.144444 0.099250 0.011111 -161446.485250 6369.485213 32647.177063 -168996.112410 -5033.240979 -72113.565108
0.166667 0.099250 0.011111 -179791.939190 -13348.255535 4616.622726 -180373.940050 -6152.217641 -94798.707614
0.188889 0.099250 0.011111 -139927.820120 -19469.534834 -29271.690985 -147723.383600 23673.078400 -76289.113390
0.211111 0.099250 0.011111 -155066.899320 7242.661945 -2227.626905 -219047.034810 -15022.541973 -76070.854720
0.233333 0.099250 0.011111 -124951.955940 -12531.921763 14765.998681 -182877.776130 -5524.280838 -94019.556642
0.255556 0.099250 0.011111 -140138.308880 21886.115949 -28744.120579 -172882.983870 -500.394941 -42274.990526
0.277778 0.099250 0.011111 -171786.211570 -10202.501892 -38639.272129 -202632.464710 -20208.190895 -116819.024460
0.300000 0.099250 0.011111 -173804.409050 -20921.400707 -42604.412771 -215570.728080 21169.556602 -110580.501330
0.322222 0.099250 0.011111 -151029.797780 15455.560256 8395.687784 -114386.683830 11795.706446 -88739.084741
0.344444 0.099250 0.011111 -151312.066350 19386.747880 21668.443229 -243182.123710 14826.817911 -60251.162405
0.366667 0.099250 0.011111 -145187.598550 -24930.752650 -15270.490670 -200026.303430 10285.963536 -69953.814689
0.388889 0.099250 0.011111 -93997.741739 -23606.282523 -20666.120362 -186137.043950 9960.340185 -102655.278130
0.011111 0.121306 0.011111 -106659.483550 -654.663675 -28401.031931 -193428.655520 5723.274381 -81709.047309
0.033333 0.121306 0.011111 -168274.563490 27750.942709 8074.021892 -216395.963180 -23056.453454 -109306.825740
0.055556 0.121306 0.011111 -181965.722290 -34150.694930 -9908.685695 -147271.449220 -35364.356710 -109673.206760
0.077778 0.121306 0.011111 -152970.880650 -583.006967 27467.612544 -193685.006530 -2833.413457 -77972.734383
0.100000 0.121306 0.011111 -195251.048800 32049.225190 33007.293149 -172664.200800 20879.727066 -51229.811609
0.122222 0.121306 0.011111 -140638.565130 20320.906579 -7447.785389 -147974.800960 538.397029 -97140.980023
0.144444 0.121306 0.011111 -139294.314540 -1012.226273 26070.639531 -149667.158140 -2831.878386 -95787.539700
0.166667 0.121306 0.011111 -111608.544400 14394.014482 15450.583432 -142573.827340 -3878.672435 -84261.834634
0.188889 0.121306 0.011111 -167801.386520 56134.141683 19211.900732 -217272.746160 -37944.722207 -61649.756866
0.211111 0.121306 0.011111 -172223.211760 27898.237012 -19145.973867 -157066.513940 -6062.026653 -84734.757608
0.233333 0.121306 0.011111 -137132.102640 13933.830000 -12937.084767 -208469.821880 10288.912959 -39856.688522
0.255556 0.121306 0.011111 -134066.855470 18636.174519 12615.417439 -170259.077270 -47209.523742 -26208.402453
0.277778 0.121306 0.011111 -185445.095970 26699.641540 34332.515097 -183740.978030 44189.184119 -135285.230070
0.300000 0.121306 0.011111 -170211.856370 -37162.000748 -26138.946162 -233079.082330 23984.849275 -62943.246212
0.322222 0.121306 0.011111 -161607.718340 27675.378199 -51466.875625 -151106.908540 11406.650862 -68706.411465
0.344444 0.121306 0.011111 -166865.868860 10400.820611 -29040.101859 -238562.612420 -49939.986894 -101177.648670
0.366667 0.121306 0.011111 -140635.261200 8373.840261 3155.791026 -169239.945510 10528.112855 -92958.826435
0.388889 0.121306 0.011111 -74656.089879 -17785.636729 -2337.783415 -225921.893620 -5023.898383 -66640.380546
0.011111 0.143361 0.011111 -88990.892953 24686.338121 36792.176852 -194254.012620 1167.321102 -70766.144674
0.033333 0.143361 0.011111 -203706.528780 4290.999791 -15456.176638 -227807.818660 27906.552955 -69970.250265
0.055556 0.143361 0.011111 -182785.404710 17537.272273 -19924.917687 -150908.854910 -21259.920792 -59387.562005
0.077778 0.143361 0.011111 -192943.617870 -33087.992605 -28891.291370 -239184.536300 36857.158809 -96374.636437
0.100000 0.143361 0.011111 -194778.674750 -40161.804150 -48599.061426 -174525.417620 -25029.934044 -120065.301240
0.122222 0.143361 0.011111 -158950.948350 -29508.156591 2625.299914 -185810.874160 10057.528479 -66043.108826
0.144444 0.143361 0.011111 -139027.361530 18578.023973 -8762.209123 -127243.266530 -8454.062953 -35932.796126
0.166667 0.143361 0.011111 -164699.691430 18159.793157 -27095.791914 -134150.166560 8551.680330 -95445.428707
0.188889 0.143361 0.011111 -140220.009990 44.885249 21008.739298 -203054.116960 15333.869421 -116685.518030
0.211111 0.143361 0.011111 -110890.095110 -23659.314584 -15158.615174 -217613.422130 4738.728287 -62709.298973
0.233333 0.143361 0.011111 -135216.611940 10802.124670 -6860.499784 -210819.979500 24135.285798 -69412.576048
0.255556 0.143361 0.011111 -147126.100920 12816.811909 3137.808150 -228514.931950 -23819.628586 -99505.082684
0.277778 0.143361 0.011111 -157709.437860 26985.542849 5240.913853 -171385.866550 33199.547562 -27329.530921
0.300000 0.143361 0.011111 -170254.699800 -9035.027023 29366.694217 -171100.591010 -30969.319399 -70803.114573
0.322222 0.143361 0.011111 -263839.557110 -12891.153902 14811.182572 -207564.132960 -8250.223276 -118941.263310
0.344444 0.143361 0.011111 -178855.917350 7117.593210 -17217.173937 -235540.536950 -17102.408291 -63404.265868
0.366667 0.143361 0.011111 -190093.291860 6810.166420 49070.801869 -141344.233490 14006.578401 -87051.529316
0.388889 0.143361 0.011111 -95384.390099 14762.749341 -20879.677045 -209354.201700 6057.665900 -90936.910601
0.011111 0.165417 0.011111 -89724.950031 15894.673285 3279.761405 -182854.633200 -8422.936344 -20604.221116
0.033333 0.165417 0.011111 -137708.778360 -3390.371034 -3848.975867 -180323.564860 43255.040386 -63762.465949
0.055556 0.165417 0.011111 -101257.429470 13405.835955 -18915.040241 -119420.271520 -9471.341506 -73470.954610
0.077778 0.165417 0.011111 -118768.661750 28210.751618 6701.222226 -207244.236010 -5999.581288 -38938.215707
0.100000 0.165417 0.011111 -145963.962730 -25933.546526 24226.897364 -163389.421250 8657.202466 -64698.356297
0.122222 0.165417 0.011111 -164639.769210 31947.788061 -9737.108152 -203189.092480 7647.932551 -104825.357240
0.144444 0.165417 0.011111 -103156.226610 11952.229047 1559.464087 -80972.676796 -9342.197911 -77053.982060
0.166667 0.165417 0.011111 -103807.301320 8327.686989 -17669.220809 -177148.975790 -8897.557984 550.575490
0.188889 0.165417 0.011111 -218615.602590 -28091.975719 13213.088453 -218538.297290 41453.774649 -131194.820880
0.211111 0.165417 0.011111 -215111.823930 20097.038346 8678.191109 -182897.383870 -13418.396510 -70676.922738
0.233333 0.165417 0.011111 -201566.846800 -12835.732576 40663.991208 -183195.202050 -53680.941844 -69635.051057
0.255556 0.165417 0.011111 -187106.009680 -692.919213 9674.160418 -280825.380800 4390.921278 -108547.331980
0.277778 0.165417 0.011111 -142374.046950 2527.474481 5503.646299 -220321.525790 5052.673937 -73420.430179
0.300000 0.165417 0.011111 -186193.704780 35106.148203 -6937.511960 -149444.606160 13812.914952 -95099.930494
0.322222 0.165417 0.011111 -163497.792820 -1977.763125 5079.777864 -196729.611090 -47854.236293 -56603.830950
0.344444 0.165417 0.011111 -195812.226040 -42171.009569 11795.208108 -240798.608110 -64052.445477 -70327.151279
0.366667 0.165417 0.011111 -235573.504430 6909.568548 -34544.950261 -176430.364210 -15570.448717 -92253.968854
0.388889 0.165417 0.011111 -77317.010121 21052.858954 -3717.851039 -176394.946060 -21169.019604 -70258.391600
0.011111 0.187472 0.011111 -93699.736749 -7322.073006 -11009.183696 -184043.142100 -2123.198427 -93637.820946
0.033333 0.187472 0.011111 -120875.358510 -6100.560852 -29785.547581 -188069.007270 11858.168059 -52732.354178
0.055556 0.187472 0.011111 -122576.229500 4454.071727 14203.827896 -113443.579890 -4556.983541 -48461.690308
0.077778 0.187472 0.011111 -195296.839730 17613.577309 17547.175696 -164010.301520 -21991.618359 -140669.407770
0.100000 0.187472 0.011111 -143931.017130 19336.160010 15929.679273 -198734.582180 -15935.445426 -95317.188160
0.122222 0.187472 0.011111 -145469.901450 -34617.111226 42499.226066 -163857.385780 27119.386920 -79223.078132
0.144444 0.187472 0.011111 -123798.172220 10872.604949 14789.010281 -153180.344620 -4138.340616 -71055.583951
0.166667 0.187472 0.011111 -172369.232500 18586.597167 4661.074502 -166151.840450 25092.017646 -86036.389079
0.188889 0.187472 0.011111 -183964.477790 18901.353458 6249.004109 -176760.969530 -14824.049965 -70998.247911
0.211111 0.187472 0.011111 -168976.245930 -26680.465109 19601.953685 -204308.993200 23491.392024 -63943.967905
0.233333 0.187472 0.011111 -173780.866820 -6098.535959 -4154.545631 -147078.783500 -40687.019034 -79658.095332
0.255556 0.187472 0.011111 -131225.411730 -402.975447 1300.146982 -223285.565160 23395.257797 -125885.899670
0.277778 0.187472 0.011111 -143225.552590 25924.952380 20357.081159 -186907.169760 -7453.752545 -67827.955802
0.300000 0.187472 0.011111 -177229.692020 -15971.646503 -12790.771627 -150478.592810 17986.393347 -98760.602841
0.322222 0.187472 0.011111 -147398.723130 16646.916047 31385.422824 -209819.514930 -3785.412013 -116497.540610
