# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -73397.453246 1979.238394 8668.316202 -185360.225450 -49880.944767 -83746.288112
0.033333 0.011028 0.011111 -86708.715411 -10351.267558 -16565.032378 -174433.624590 -67051.144708 -54577.079245
0.055556 0.011028 0.011111 -98873.651655 19530.518159 -20086.127778 -210456.491260 -63145.276992 -42353.493193
0.077778 0.011028 0.011111 -123584.527040 957.649731 8335.265445 -146500.158710 -13756.016446 -43926.884519
0.100000 0.011028 0.011111 -114751.198240 5171.357328 -16816.249896 -146817.359100 -85999.182502 -34102.561888
0.122222 0.011028 0.011111 -83510.430979 -19246.571644 -13987.435306 -153227.062550 -11923.849191 -74702.585602
0.144444 0.011028 0.011111 -120543.565770 6893.601085 -8166.308555 -170052.396760 -78172.959139 -55148.707936
0.166667 0.011028 0.011111 -96124.475275 -8873.234179 1937.954107 -173091.092660 -15900.957152 -46165.581574
0.188889 0.011028 0.011111 -83417.936222 -22848.432783 42175.845214 -158161.481850 -41777.091584 -35442.660273
0.211111 0.011028 0.011111 -81368.860046 -12491.416513 23321.813722 -169806.178470 -16491.055214 -53819.559151
0.233333 0.011028 0.011111 -84278.965245 24908.355833 11098.586255 -177897.871920 -16257.140339 -72220.570557
0.255556 0.011028 0.011111 -109991.498670 12254.645900 -20766.533089 -144177.973050 7024.633788 -68786.577571
0.277778 0.011028 0.011111 -105679.210560 -41812.735594 -928.862673 -182159.229150 -39733.427860 -35303.408139
0.300000 0.011028 0.011111 -63710.452087 -36656.993079 7213.739447 -152624.267670 -41912.332143 -72246.217413
0.322222 0.011028 0.011111 -126725.021840 -29204.266463 -39283.289052 -148208.377770 -59782.950006 -34033.073098
0.344444 0.011028 0.011111 -109411.252220 25302.070556 41846.484135 -138936.024750 -51823.222950 -41855.527691
0.366667 0.011028 0.011111 -126461.857380 15848.572207 2591.826442 -164717.305730 -32342.816255 -40541.678800
0.388889 0.011028 0.011111 -45098.756095 -25937.906519 -24201.687935 -155128.285460 -35458.823023 -72779.228481
0.011111 0.033083 0.011111 -63166.643308 8981.963546 17124.169247 -329943.640240 -74119.638230 -105602.699050
0.033333 0.033083 0.011111 -221316.800840 -5392.682372 -1596.318348 -315145.220870 5679.151050 -71645.171566
0.055556 0.033083 0.011111 -248584.655590 -14663.182982 -47000.510630 -412873.541280 -88595.269943 -129648.007440
0.077778 0.033083 0.011111 -197422.682440 17037.271477 -16649.688266 -272782.468000 1356.234070 -98364.413297
0.100000 0.033083 0.011111 -211907.844190 -36103.250004 24997.524731 -269149.164790 13430.477813 -125285.080910
0.122222 0.033083 0.011111 -203550.916700 3450.909569 -48739.903898 -306812.918520 34960.865838 -49324.780566
0.144444 0.033083 0.011111 -174990.149440 13583.370327 37029.479460 -271910.804610 -16917.742394 -124314.610860
0.166667 0.033083 0.011111 -175462.090290 8207.441780 29786.591688 -364998.844690 18783.391620 -62521.534773
0.188889 0.033083 0.011111 -182573.397700 6310.928920 -6403.909067 -296620.048990 -11230.837475 -102121.275180
0.211111 0.033083 0.011111 -232457.597670 26545.813392 -16158.112658 -398225.508350 16064.684114 -98116.913491
0.233333 0.033083 0.011111 -274375.457200 -39468.092231 21173.764567 -314553.364970 67368.721136 -82806.277566
0.255556 0.033083 0.011111 -193190.101530 -24181.092195 24175.786069 -324343.489570 34217.861941 -117710.634700
0.277778 0.033083 0.011111 -145934.339330 -24426.758004 -19889.609781 -257006.239760 -7015.751525 -35315.245937
0.300000 0.033083 0.011111 -246481.740750 26937.583957 -35717.813197 -369861.896940 9477.719835 -108345.787260
0.322222 0.033083 0.011111 -238178.784970 5964.436553 30800.458647 -310064.257810 -4700.100396 -113839.937590
0.344444 0.033083 0.011111 -208864.573350 9469.050455 -22910.063332 -293948.980370 -32241.123249 -107891.972560
0.366667 0.033083 0.011111 -161581.286810 -26423.889820 24483.576963 -281647.436520 37252.690714 -50910.365029
0.388889 0.033083 0.011111 -103957.179430 15473.593067 -21328.193528 -304592.140610 -47015.158402 -111187.955000
0.011111 0.055139 0.011111 -114569.050980 6235.774388 36966.393479 -360096.566350 65561.892657 -133369.758030
0.033333 0.055139 0.011111 -195843.982810 22758.333095 -2993.007140 -238094.683110 27484.067184 4736.944401
0.055556 0.055139 0.011111 -199461.661100 7651.609481 29981.135727 -336462.092080 -63478.910606 -60011.408253
0.077778 0.055139 0.011111 -192742.005560 16302.157946 -8018.771571 -360370.133090 13264.530736 -125371.642920
0.100000 0.055139 0.011111 -138251.318950 11897.629852 13235.682610 -278706.878420 70933.697776 -124440.240980
0.122222 0.055139 0.011111 -159661.998290 16832.421662 43442.437514 -321907.605510 23516.279484 -80999.026096
0.144444 0.055139 0.011111 -202792.222290 6092.727275 -81206.183039 -307752.671150 33220.697716 -104043.259700
0.166667 0.055139 0.011111 -205896.047820 27356.923860 -53094.144900 -315002.576570 -32223.380781 -128300.383520
0.188889 0.055139 0.011111 -234751.547900 -45341.521677 53875.568240 -352850.481480 50235.280743 -112296.484560
0.211111 0.055139 0.011111 -175140.267230 14912.051356 23683.118684 -298634.778570 -2265.433934 -56664.283439
0.233333 0.055139 0.011111 -130645.836070 -24186.950550 -31808.003959 -258010.394640 56844.220559 -120317.689180
0.255556 0.055139 0.011111 -264585.670120 -37772.913075 -42148.045400 -359673.507130 47911.715536 -99102.399703
