# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -6800.555606 1870.337965 -3926.238231 -8600.321692 -1020.942412 -7772.842336
0.033333 0.011028 0.011111 -17038.232425 -1235.421704 -5996.982732 -10553.892029 -2527.521004 -8361.561273
0.055556 0.011028 0.011111 -19395.505752 -20.509089 852.744090 -11851.552675 2119.115660 -5630.975133
0.077778 0.011028 0.011111 -20174.838943 -1066.456999 4001.624272 -11000.195850 -2522.259749 -7367.299750
0.100000 0.011028 0.011111 -21716.116310 2274.142945 -5009.731528 -14655.989964 -4459.938923 -13253.963857
0.122222 0.011028 0.011111 -20139.088867 312.945521 -2356.233723 -10870.679216 -1564.847321 -12382.080386
0.144444 0.011028 0.011111 -20982.514359 1188.022341 1987.878841 -9906.400460 -2012.055101 -10368.760907
0.166667 0.011028 0.011111 -19568.374201 -2520.649329 2979.242430 -8625.056311 -3184.194227 -9051.775138
0.188889 0.011028 0.011111 -20194.774126 2296.579292 6219.133742 -15583.881463 -2623.313299 -11532.880315
0.211111 0.011028 0.011111 -20547.540945 759.924479 2980.615511 -13970.912462 -4386.420500 -11774.551794
0.233333 0.011028 0.011111 -26836.049338 -214.289858 1628.935181 -16558.104584 -4531.363191 -12186.521412
0.255556 0.011028 0.011111 -16829.428854 4165.135971 -2166.262804 -8379.735850 90.207150 -9907.608915
0.277778 0.011028 0.011111 -26308.156011 -651.567115 395.995173 -11555.253992 -5211.389125 -3936.676518
0.300000 0.011028 0.011111 -23406.077151 -3513.977075 -6862.136090 -13204.622660 -3111.945983 -12017.394232
0.322222 0.011028 0.011111 -25460.423983 1250.984928 -3248.948478 -4373.649754 -5429.713224 -16311.707783
0.344444 0.011028 0.011111 -27364.176338 636.936254 -464.268357 -13423.155171 -11.613536 -12003.439216
0.366667 0.011028 0.011111 -26649.646283 746.828091 -2787.800980 -7697.381093 -2218.679307 -5621.701428
0.388889 0.011028 0.011111 -6556.017516 -3780.450720 491.710433 -14289.898279 4516.616973 -10655.186825
0.011111 0.033083 0.011111 -9033.211632 -6491.283327 2012.756474 -23179.327630 2073.017175 -16403.565984
0.033333 0.033083 0.011111 -26118.423444 4389.298560 -2832.264766 -21312.123343 -1844.747759 -12554.039679
0.055556 0.033083 0.011111 -20149.201724 593.244666 -1012.349894 -15597.647930 1645.216140 -12154.715012
0.077778 0.033083 0.011111 -26797.439735 -2279.743570 -124.003007 -28764.236423 -2157.779891 -19548.953926
0.100000 0.033083 0.011111 -25290.839533 -3565.847185 219.113164 -31880.172214 3195.291347 -18193.778226
0.122222 0.033083 0.011111 -23153.566169 923.534060 -8331.871235 -22873.973490 2467.185832 -7425.294221
0.144444 0.033083 0.011111 -18894.358080 -637.546984 -5737.763877 -12437.522012 -6877.736475 -9484.864678
0.166667 0.033083 0.011111 -21069.148409 3358.694145 -3097.767590 -25461.344277 -2288.676384 -21675.337344
0.188889 0.033083 0.011111 -27995.211992 -2906.183577 -4071.980927 -25399.155671 -265.323412 -14244.681751
0.211111 0.033083 0.011111 -29197.962033 2533.948523 790.065500 -22486.880013 -8637.605703 -8359.887862
0.233333 0.033083 0.011111 -25922.341564 -2178.426151 -1342.572998 -26857.705643 3399.686042 -13095.884602
0.255556 0.033083 0.011111 -37970.064097 -6331.708234 -10052.057494 -37233.743444 -3855.069741 -28265.844993
0.277778 0.033083 0.011111 -20408.780646 1959.577017 -2282.256653 -15254.601848 2399.779516 -11169.042349
0.300000 0.033083 0.011111 -29922.701642 1055.207427 -3417.259693 -27368.216297 -830.158101 -9058.509941
0.322222 0.033083 0.011111 -29031.303414 -1356.341507 -4375.114740 -17168.533403 1695.298672 -16510.350307
0.344444 0.033083 0.011111 -16798.982381 3268.975990 -1681.451569 -15253.010800 1194.874749 -11001.943228
0.366667 0.033083 0.011111 -16518.794903 -1256.986439 5419.558100 -19488.818600 -5571.641577 -6651.912682
0.388889 0.033083 0.011111 -16419.474157 5878.798880 -1509.010044 -29458.960514 3040.795313 -11425.979879
0.011111 0.055139 0.011111 -16178.931234 1752.292798 -3313.959016 -28171.453046 2781.361051 -14491.109183
0.033333 0.055139 0.011111 -16405.976049 3899.372021 1060.323009 -18289.468224 1798.260045 -8260.737430
0.055556 0.055139 0.011111 -16050.316324 -840.923386 -2249.847189 -18974.373664 -5527.089430 -10817.212736
0.077778 0.055139 0.011111 -20815.230874 245.926381 -3616.607821 -31230.180843 -3162.083797 -2513.570419
0.100000 0.055139 0.011111 -13476.494712 1103.733189 -500.967960 -28799.669517 -865.346088 -24330.891946
0.122222 0.055139 0.011111 -14971.576091 2531.229500 1379.690761 -12057.089220 1394.510655 -10596.118118
0.144444 0.055139 0.011111 -36851.831361 2615.189733 2237.585201 -25458.621835 -963.148757 -12601.269697
0.166667 0.055139 0.011111 -18271.100716 4076.650207 3371.434618 -12172.971545 6648.372511 -9876.803639
0.188889 0.055139 0.011111 -20408.757215 5108.974955 2316.459483 -18640.100162 5212.636531 -18052.365289
0.211111 0.055139 0.011111 -17902.092425 3474.555898 1845.340238 -10122.700007 -3206.599668 -8137.143250
0.233333 0.055139 0.011111 -19024.724095 2909.985198 2459.601582 -30350.384217 4128.249844 -16399.445003
0.255556 0.055139 0.011111 -31736.790331 1440.649879 6427.518649 -26859.494694 -5542.971611 -13070.802802
0.277778 0.055139 0.011111 -39811.216610 -1957.628869 1461.634406 -35180.753265 1220.781354 -14641.936992
0.300000 0.055139 0.011111 -21516.780259 57.455315 4365.174420 -10463.297327 -1675.369467 -4616.036216
0.322222 0.055139 0.011111 -28318.957079 -95.837189 -3786.899870 -21561.128508 4917.869105 -9147.025145
0.344444 0.055139 0.011111 -24156.420944 -98.199112 1210.954203 -14807.761884 -6421.875867 -7705.430092
0.366667 0.055139 0.011111 -30119.287701 1395.151676 -2305.518809 -28176.284911 -3797.799450 -16237.102478
0.388889 0.055139 0.011111 -10771.620442 528.434473 -2959.509563 -24154.839277 1072.449218 -14342.677046
0.011111 0.077194 0.011111 -6867.260181 -597.063899 -979.353977 -17627.864186 -2001.503494 -6698.685143
0.033333 0.077194 0.011111 -21908.065072 -845.214197 1694.258129 -22353.292894 2725.564679 -13016.677719
