# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -66188.543959 -346.579449 9466.160277 -114071.566060 -32174.797611 -68444.346104
0.033333 0.011028 0.011111 -104605.612890 -20148.544920 6265.253828 -118152.507940 -26480.783444 -42193.503615
0.055556 0.011028 0.011111 -92004.820736 40052.904640 -15458.394020 -129729.233930 -18841.511337 -51467.439199
0.077778 0.011028 0.011111 -118454.434920 17758.382766 7547.571024 -109146.744400 -18928.616642 -53812.417682
0.100000 0.011028 0.011111 -123816.362590 21439.578619 -2452.860874 -104091.799210 -86661.389323 -42198.762218
0.122222 0.011028 0.011111 -105669.652620 7160.035147 -5373.339647 -99703.802293 -7990.543102 -63162.355851
0.144444 0.011028 0.011111 -136431.264100 3935.309770 -666.593699 -121279.388340 -39654.518852 -71536.489974
0.166667 0.011028 0.011111 -117879.285980 -29024.863986 -11435.652009 -109014.787260 -22361.660668 -61031.003722
0.188889 0.011028 0.011111 -106881.438190 -4163.696195 15678.888825 -104832.499720 -20426.489877 -30921.980756
0.211111 0.011028 0.011111 -108216.432820 10798.862557 -9927.796959 -122079.394720 -18192.478120 -22969.881951
0.233333 0.011028 0.011111 -80816.922992 42772.700518 14166.066101 -140033.214590 -24271.038138 -84500.927201
0.255556 0.011028 0.011111 -114961.659350 23971.942054 -26789.732694 -82351.759399 -3872.683299 -68689.498279
0.277778 0.011028 0.011111 -104092.513260 -19487.536217 -1630.359320 -121812.177260 -22864.448830 -29049.069412
0.300000 0.011028 0.011111 -88701.143160 -24818.105286 -4031.318805 -91047.994950 -40951.923082 -64209.731655
0.322222 0.011028 0.011111 -80380.158213 -21335.779717 -18149.784645 -108560.499570 -41945.455092 -47556.223509
0.344444 0.011028 0.011111 -98196.605420 16188.876484 5951.050924 -119228.975830 -47902.111000 -68843.375857
0.366667 0.011028 0.011111 -108666.514900 -7934.241798 16598.878275 -104024.383470 -15492.601988 -27975.235775
0.388889 0.011028 0.011111 -44463.845809 -21337.099151 -6599.770003 -93472.336808 -25412.173403 -63769.506242
0.011111 0.033083 0.011111 -59440.775809 -1365.620600 1418.095159 -196802.506600 3117.787312 -133266.208950
0.033333 0.033083 0.011111 -179966.823820 25638.243737 13393.139792 -179143.750930 -2037.133345 -54789.203720
