timestep,zona,N,Fy_mean,Fy_std,Fy_max,frac_strong,Fx_mean,Fx_std,Fx_max,frac_strong_x,Fz_mean,Fz_std,Fz_max,frac_strong_z,anis_xz
6250,middle,1092,0.021560277847985348,0.6873363705438639,4.64687,0.2326007326007326,0.005355038348604119,0.5462864192390947,3.559841591970306,0.25,0.012258537621785711,0.520675113942776,3.40839,0.2454212454212454,0.047751776137198894
6250,top,1128,0.027763910675531914,1.395341109302536,7.56912,0.2429078014184397,0.03596196629682649,1.184602545040691,10.005687158095496,0.22074468085106383,0.017714978930851062,1.0536668487181595,6.49475,0.2429078014184397,0.11691317429696133
6250,bottom,1117,0.00972427905013429,0.33133731736632277,2.96468,0.24082363473589974,0.013051017165877957,0.29161634330653924,3.1890134693330703,0.23634735899731424,0.0017646769162041182,0.24636027795171564,1.61475,0.25156669650850494,0.1680106732797024
12500,middle,1109,0.033245154102795306,1.000240503873166,5.44194,0.25067628494138866,-0.002286978339716966,0.883338036109745,5.758605366845598,0.7619477006311993,0.008662785133904413,0.8161601459528299,4.97799,0.2768259693417493,0.07888017345076269
12500,top,1135,0.01556148504229075,1.0467040805305148,6.9201,0.24493392070484582,0.02939484661943534,0.9806537112940258,7.94342771880298,0.22995594713656387,0.016846227740088107,0.920739594287908,5.812,0.2475770925110132,0.0632393320690153
12500,bottom,1122,0.04680015885918004,1.021012510212275,6.94577,0.25668449197860965,0.02891616664585753,0.7643331457461588,5.134992249488351,0.2647058823529412,0.004152130673796796,0.7575738406098773,7.0155,0.2718360071301248,0.009582538229421877
18750,middle,1114,0.030867382417414737,1.1194140402759574,7.51173,0.2504488330341113,-0.013740177455593975,0.9301398836289827,4.050587290850906,0.7657091561938959,0.0031570763055430886,0.858184426235625,4.59027,0.289048473967684,0.08044409022839316
18750,top,1130,0.009533043579115049,0.6668745293333327,4.08037,0.22212389380530972,0.041234183946366285,0.6863955601428228,4.836484099427629,0.20353982300884957,0.026057063568495572,0.6077804468765937,3.82916,0.21327433628318584,0.12191390664185223
18750,bottom,1126,0.07224684534152755,1.5887663158009215,11.1559,0.25843694493783304,0.040637404455799754,1.1873991460062079,9.383124461844417,0.26465364120781526,0.004371031733570156,1.1530113708788288,12.1664,0.27353463587921845,0.029957362460521057
25000,middle,1110,0.03812925325405406,1.2798040612597008,9.09532,0.25585585585585585,-0.01193453790615652,0.9967575291369742,4.769074773790775,0.7612612612612613,0.0100051028891892,0.9353766632584654,5.49402,0.2855855855855856,0.06348721175701795
