timestep,zona,N,Fy_mean,Fy_std,Fy_max,frac_strong,Fx_mean,Fx_std,Fx_max,frac_strong_x,Fz_mean,Fz_std,Fz_max,frac_strong_z,anis_xz
6250,middle,6202,0.017049853515591747,1.027523378564651,11.2548,0.21880038697194454,0.004260561960965781,0.7028568244292892,6.741004409549571,0.22766849403418252,0.0058848666660754586,0.6862469572032801,6.2495,0.2287971622057401,0.023892705026394862
6250,top,5904,0.05734963707978624,1.5856863509636683,20.1681,0.19884823848238484,-0.01937403996544183,1.0907807149913327,11.790639602792595,0.7845528455284553,0.017427565087991186,1.1160659055229392,12.8539,0.21917344173441736,-0.02287642248078455
6250,bottom,6100,0.01305802485290164,0.6629295644418928,7.64333,0.20688524590163934,0.002487249000552229,0.4888850369752176,4.3624967645129775,0.21622950819672132,-0.0012947019449180332,0.48324853949484353,3.77282,0.7859016393442623,0.01160509946657336
12500,middle,6211,0.015331564737272586,1.194841466345229,13.3121,0.2152632426340364,0.0036519577254508478,0.7671962328440697,6.381189616521951,0.22105941072291097,0.006353308140801807,0.7623377645317776,9.4519,0.22073740138464015,0.006329413655749622
12500,top,5873,0.03060062314879959,1.1539991821316955,15.2488,0.2128384130767921,-0.012712063064379173,0.8145332220647894,8.120059010545017,0.7914183551847438,0.020421123200238384,0.8212751673636164,8.19674,0.21249787161586922,-0.008430073857098454
12500,bottom,6100,0.018132672305311476,1.171113481693688,10.5783,0.2157377049180328,0.006604679622381144,0.7734398162475786,6.704844877907001,0.2242622950819672,-0.00636945363145082,0.7955389428217091,8.14738,0.7780327868852459,-0.028160085145899006
18750,middle,6209,0.01803477293090675,1.3744146360121543,12.8697,0.23626993074569175,0.0053069464931025006,0.9432892360060637,6.972861498288138,0.23691415686906103,0.004449684966757931,0.9492723569364386,8.96215,0.2372362699307457,-0.006317872758314781
18750,top,5858,0.02353448607891772,0.9035014040276603,8.77282,0.2183339023557528,-0.005560069966106871,0.7603052234741732,7.047426955379811,0.7746671218846023,0.02225946355133151,0.7718177881682422,6.47179,0.2094571526118129,-0.015416282512610133
18750,bottom,6116,0.039318953975982666,1.9341120560815497,16.3024,0.22334859385219097,0.008202601652094351,1.3004812153971632,10.702977102669525,0.23708306082406802,-0.003794496106916282,1.3136231056857497,10.2772,0.7666775670372793,-0.010038631173969458
25000,middle,6208,0.025300671190061207,1.4721787745753252,15.08,0.23324742268041238,0.004737453754167458,0.9820926228359277,7.996635148553601,0.24452319587628865,0.011878056132731959,0.9830821073804998,8.6412,0.2421069587628866,-0.0010683721876929288
25000,top,5859,0.019196332447863115,0.7837540837853637,7.89471,0.22580645161290322,-0.008019248716856007,0.6646598297077434,6.57086515012569,0.7728281276668374,0.018273933183493768,0.6796292230714835,6.17251,0.22119815668202766,-0.022556761922727483
25000,bottom,6116,0.04245081181256311,2.2486300207947862,19.4751,0.22645519947678222,0.012352210959459372,1.482974944653708,12.759969219546816,0.24166121648136035,-0.004238165733485945,1.503185794930726,11.892,0.7580117724002616,-0.013505016937626357
31250,middle,6202,0.025893464186488226,1.341491543527947,12.2662,0.23427926475330538,0.0014892710526588143,0.8541600382406268,6.030041065565683,0.24991938084488874,0.008865725006760722,0.8608579441732584,8.42061,0.24330861012576588,-0.007862273725041816
31250,top,5869,0.02170278833578122,0.7998811724004167,8.03582,0.23087408417106833,-0.007620909085996453,0.6549973469851915,6.368873484371742,0.7681035951610155,0.01811457124665701,0.6720929753197374,5.94315,0.22099165104787868,-0.026055007406817186
31250,bottom,6106,0.038853484426760565,1.9461336875320707,15.6095,0.22698984605306255,0.005035480409661336,1.2344185869448696,10.502417023179886,0.24467736652472977,-0.001935544491188998,1.2514712779447728,10.7492,0.7543399934490664,-0.013711818669088199
37500,middle,6205,0.019614567542352936,1.0227640563140974,7.72149,0.22804190169218372,0.004568657745016492,0.7275106428638944,6.416209215748155,0.22723609991941982,0.002616538464979853,0.7310094343555313,8.43543,0.23432715551974215,-0.004784388912719822
37500,top,5884,0.028520432957121002,0.924195404005024,12.715,0.2229775662814412,-0.011806232828324905,0.7755721611626591,6.460345020308564,0.7814411964649898,0.02119469677641061,0.8015622126966283,6.05569,0.21889870836165873,-0.033182982561065194
37500,bottom,6090,0.022604878773018058,1.088147174363292,8.65266,0.2206896551724138,-0.005219745186390135,0.7993148970192875,7.851423817265772,0.7824302134646962,0.0027164894206847296,0.8056107825878351,7.95462,0.22397372742200328,-0.007829947048360684
43750,middle,6201,0.0118659621040945,0.8434330657363223,6.34549,0.23431704563780034,0.009432477449926674,0.6837271918201202,6.977710826187398,0.22770520883728432,-0.0006806345032414117,0.6906993196635649,8.35196,0.7666505402354459,-0.010050591242396453
43750,top,5897,0.043257330784924546,1.1586183296381094,15.6181,0.2196031880617263,-0.013832402201608108,0.9437220457840839,7.022587965041026,0.7775139901644904,0.02646862245685942,0.9772012145289032,8.65083,0.21621163303374596,-0.03510575911355212
43750,bottom,6086,0.008773799253368388,0.4198240780624628,3.43815,0.2219848833388104,0.00013753452351749718,0.43221302556777463,5.267944006390701,0.23200788695366414,0.0014268893668370026,0.424361293079205,3.98507,0.22905027932960895,0.01832572851759555
50000,middle,6198,0.009660335270038718,0.7947434954558226,5.8771,0.24298160696999033,0.005640217581037053,0.6711484311099439,6.102005617276778,0.2376573088092933,-0.003808843234091643,0.6755501214214337,7.92795,0.7595998709261051,-0.0065175231390088295
