timestep,zona,N,Fy_mean,Fy_std,Fy_max,frac_strong,Fx_mean,Fx_std,Fx_max,frac_strong_x,Fz_mean,Fz_std,Fz_max,frac_strong_z,anis_xz
3362500,bottom,5895,0.008229270080134018,2.3190833937053656,19.6736,0.25156912637828666,0.016337015017586953,1.9397098608622205,13.165769475471636,0.24359626802374895,-0.002593858903494487,1.9618962895038277,13.1703,0.7533502968617473,-0.011338015491247655
3368750,middle,6233,0.031760751705129146,2.2664284804629564,17.9524,0.23391625220600032,-0.00041333476340432636,1.8758910624038057,10.986819313075387,0.74233916252206,0.04758868610480876,1.8987728113188829,12.8645,0.22910316059682337,-0.012437318261904452
3368750,top,5949,0.03699072293474533,2.3282913466212682,20.759,0.22995461422087746,0.014445041195835213,1.8833284162231279,12.71581698228178,0.23466128761136326,0.05392200172381072,1.9166563933249436,15.3106,0.23516557404605817,-0.017905819947786082
3368750,bottom,5893,0.009120400709558791,2.3875382306771153,20.0897,0.2519938910571865,0.01704504792080525,1.984237162738232,13.309794380423725,0.24401832682844052,-0.00016698788627522967,2.0080229714741376,13.3588,0.7427456304089598,-0.011878652420683292
3375000,middle,6230,0.03486314609759229,2.3451235461320383,18.642,0.23338683788121992,-0.00032630132491092193,1.9269004699417878,11.32892795571178,0.7412520064205458,0.048182190131569824,1.9532977378639214,13.1932,0.2290529695024077,-0.013909582867135785
3375000,top,5954,0.037682602477794765,2.403620293099451,21.7504,0.23060127645280484,0.013972453435567925,1.9344588939491771,13.148510586094481,0.2346321800470272,0.05318790589603964,1.973508294735048,15.2493,0.235136042996305,-0.02031933615191362
3375000,bottom,5891,0.005808395870521124,2.461245145808506,20.519,0.2534374469529791,0.017744628489582477,2.0382380682816046,13.392883431025691,0.244101171278221,-0.0002464374684603707,2.065456797226767,13.6031,0.7436767951111866,-0.0132270096656621
3381250,middle,6230,0.03851733977769985,2.4274099492663077,19.3207,0.2319422150882825,-0.00034593145512976017,1.9820377848213777,11.730613901564396,0.7409309791332264,0.050496555267686996,2.010199788651092,13.5848,0.2303370786516854,-0.014423011194978061
3381250,top,5954,0.03926028300470944,2.480426830774453,22.7408,0.23127309371850857,0.014729714056708941,1.9854430410296242,13.549191916720432,0.23446422573060127,0.053029057679857244,2.0310965286081744,15.1322,0.23312059119919382,-0.02304283977849921
3381250,bottom,5889,0.005535963756646281,2.547790596368576,21.0564,0.25505179147563256,0.01669591387312447,2.0950672102066616,13.78067201836799,0.24384445576498556,0.0027787483759381905,2.1244757068405242,13.927,0.25691968076074034,-0.013907617543860664
3387500,middle,6232,0.041307599821095956,2.511812014795212,19.9454,0.23202824133504493,1.0930756198232468e-05,2.038252585264835,12.18642215529367,0.2565789473684211,0.05021776459750321,2.0664241853458205,13.968,0.23010269576379974,-0.0140210838088851
